ts,service, txDur, servDur,wait,nbIter
1614078512.4500873,compute,0.0024001598358154297,0.03162217140197754,0.0006175041198730469,1100000
1614078515.4562988,compute,0.002661466598510742,0.03581523895263672,0.0004987716674804688,1100000
1614078518.4413235,compute,0.0008778572082519531,0.02407240867614746,0.00013184547424316406,1100000
1614078521.441465,compute,0.0011096000671386719,0.02288985252380371,0.0002117156982421875,1100000
1614078524.4539518,compute,0.002498149871826172,0.033860206604003906,0.0005421638488769531,1100000
1614078527.4806468,compute,0.0021049976348876953,0.06020307540893555,0.00048089027404785156,1100000
1614078530.4411402,compute,0.0007429122924804688,0.023129940032958984,0.0002090930938720703,1100000
1614078533.4504118,compute,0.0022640228271484375,0.02977609634399414,0.0004658699035644531,1100000
1614078536.4475873,compute,0.002069711685180664,0.02797102928161621,0.00021147727966308594,1100000
1614078539.4758031,compute,0.0022296905517578125,0.055860042572021484,0.0005118846893310547,1100000
1614078542.455257,compute,0.002893686294555664,0.034644126892089844,0.0005137920379638672,1100000
1614078545.4512346,compute,0.0020973682403564453,0.030823469161987305,0.000522613525390625,1100000
1614078548.4475076,compute,0.0020945072174072266,0.029982328414916992,0.0004928112030029297,1100000
1614078551.4496412,compute,0.002024412155151367,0.029354095458984375,0.0004591941833496094,1100000
1614078554.4491994,compute,0.001955747604370117,0.02928948402404785,0.0004525184631347656,1100000
1614078557.4605803,compute,0.002004384994506836,0.04084134101867676,0.0005221366882324219,1100000
1614078560.4545822,compute,0.0020225048065185547,0.0348658561706543,0.0004513263702392578,1100000
1614078563.4483457,compute,0.0020415782928466797,0.029723167419433594,0.0004534721374511719,1100000
1614078566.4493077,compute,0.0020058155059814453,0.029063940048217773,0.00045108795166015625,1100000
1614078569.447656,compute,0.001964092254638672,0.03000020980834961,0.0004889965057373047,1100000
1614078572.4445152,compute,0.0009546279907226562,0.026281356811523438,0.0002009868621826172,1100000
1614078575.4751067,compute,0.002112150192260742,0.05500149726867676,0.00045871734619140625,1100000
1614078578.4505305,compute,0.0020415782928466797,0.030396461486816406,0.0004506111145019531,1100000
1614078581.4512155,compute,0.001979827880859375,0.030977725982666016,0.0004527568817138672,1100000
1614078584.4542148,compute,0.0019817352294921875,0.03391146659851074,0.0004496574401855469,1100000
1614078587.4577081,compute,0.0022885799407958984,0.037172555923461914,0.0005645751953125,1100000
1614078590.451724,compute,0.0020856857299804688,0.03156161308288574,0.0004899501800537109,1100000
1614078593.4515011,compute,0.002038240432739258,0.03316307067871094,0.00044345855712890625,1100000
1614078596.450167,compute,0.0021064281463623047,0.029964685440063477,0.00045180320739746094,1100000
1614078599.4543233,compute,0.0019550323486328125,0.034026145935058594,0.0004494190216064453,1100000
1614078602.4515789,compute,0.0020918846130371094,0.031234264373779297,0.00047516822814941406,1100000
1614078605.4523761,compute,0.002213001251220703,0.03399395942687988,0.0005047321319580078,1100000
1614078608.4783065,compute,0.00206756591796875,0.058087825775146484,0.0004734992980957031,1100000
1614078611.4508965,compute,0.00206756591796875,0.030732393264770508,0.0004458427429199219,1100000
1614078614.4552088,compute,0.0020339488983154297,0.03543519973754883,0.000469207763671875,1100000
1614078617.4501183,compute,0.0020246505737304688,0.030430078506469727,0.0005116462707519531,1100000
1614078620.45555,compute,0.002038240432739258,0.03582596778869629,0.0004754066467285156,1100000
1614078623.4563272,compute,0.001999378204345703,0.03751635551452637,0.0004913806915283203,1100000
1614078626.4511476,compute,0.0019447803497314453,0.031062602996826172,0.00048232078552246094,1100000
1614078629.4516904,compute,0.002068042755126953,0.031302452087402344,0.0004782676696777344,1100000
1614078632.451656,compute,0.002051830291748047,0.03313136100769043,0.00043582916259765625,1100000
