id,ts,service, txDur, servDur,wait,nbIter,execDur
1_1600000,0,compute,0.00980830192565918,0.09537339210510254,0.00019812583923339844,1600000,0.09517598152160645
1_1600000,0.000501394,compute,0.0041620731353759766,0.1404428482055664,0.0009322166442871094,1600000,0.1395113468170166
1_1600000,0.00132847,compute,0.010864496231079102,0.12262749671936035,0.00019598007202148438,1600000,0.12243175506591797
1_1600000,0.222211,compute,0.004039764404296875,0.08074831962585449,0.0006892681121826172,1600000,0.08005952835083008
1_1600000,0.343674,compute,0.0011055469512939453,0.056474924087524414,0.00027561187744140625,1600000,0.05619978904724121
1_1600000,0.674979,compute,0.0026514530181884766,0.04684042930603027,0.0006501674652099609,1600000,0.04619121551513672
1_1600000,0.723098,compute,0.0007035732269287109,0.03857088088989258,0.0001964569091796875,1600000,0.038374900817871094
1_1600000,1.15322,compute,0.0027599334716796875,0.045786142349243164,0.0007710456848144531,1600000,0.045015573501586914
1_1600000,1.20416,compute,0.0006034374237060547,0.03773665428161621,0.00017595291137695312,1600000,0.03756117820739746
1_1600000,1.4018,compute,0.0026192665100097656,0.07286190986633301,0.0005846023559570312,1600000,0.07227778434753418
1_1600000,1.70912,compute,0.0026569366455078125,0.07803177833557129,0.0006330013275146484,1600000,0.07739973068237305
1_1600000,1.90564,compute,0.011053323745727539,0.04970240592956543,0.00020503997802734375,1600000,0.04949784278869629
1_1600000,1.90624,compute,0.0028107166290283203,0.10403180122375488,0.0006358623504638672,1600000,0.10339617729187012
1_1600000,2.37149,compute,0.004960775375366211,0.07473349571228027,0.00018978118896484375,1600000,0.07454395294189453
1_1600000,2.37158,compute,0.0009582042694091797,0.08031821250915527,0.0001876354217529297,1600000,0.08013129234313965
1_1600000,2.77677,compute,0.0026502609252929688,0.11958098411560059,0.0006589889526367188,1600000,0.11892247200012207
1_1600000,2.77697,compute,0.0063478946685791016,0.08163762092590332,0.0053119659423828125,1600000,0.07632613182067871
1_1600000,3.0342,compute,0.0006842613220214844,0.03366851806640625,0.0003867149353027344,1600000,0.03328227996826172
1_1600000,3.0348,compute,0.00263214111328125,0.11381840705871582,0.0006706714630126953,1600000,0.11314821243286133
1_1600000,3.33282,compute,0.002732992172241211,0.04170680046081543,0.0006015300750732422,1600000,0.04110598564147949
1_1600000,3.48613,compute,0.0021486282348632812,0.08279132843017578,0.0005180835723876953,1600000,0.08227348327636719
1_1600000,3.57312,compute,0.0009624958038330078,0.04107975959777832,0.00022172927856445312,1600000,0.04085850715637207
1_1600000,3.7588,compute,0.0030133724212646484,0.04747891426086426,0.0007977485656738281,1600000,0.04668164253234863
1_1600000,3.80146,compute,0.0005640983581542969,0.04007411003112793,0.00015425682067871094,1600000,0.03992056846618652
1_1600000,3.83914,compute,0.0005576610565185547,0.03277301788330078,0.0001404285430908203,1600000,0.032633304595947266
1_1600000,3.88916,compute,0.0008392333984375,0.031495094299316406,0.0001888275146484375,1600000,0.03130674362182617
1_1600000,4.16516,compute,0.0032618045806884766,0.07247805595397949,0.0006654262542724609,1600000,0.07181310653686523
1_1600000,4.21311,compute,0.0004899501800537109,0.03677988052368164,0.000171661376953125,1600000,0.03660893440246582
1_1600000,4.99988,compute,0.007533073425292969,0.3832244873046875,0.0005402565002441406,1600000,0.38268518447875977
1_1600000,5.00379,compute,0.04675555229187012,0.3189873695373535,0.0005199909210205078,1600000,0.3184678554534912
1_1600000,5.00394,compute,0.0027511119842529297,0.40206432342529297,0.0005934238433837891,1600000,0.4014713764190674
1_1600000,5.00611,compute,0.022711753845214844,0.23725509643554688,0.0005435943603515625,1600000,0.23671197891235352
1_1600000,5.00708,compute,0.03392314910888672,0.21718096733093262,0.005548238754272461,1600000,0.21163368225097656
1_1600000,5.00756,compute,0.09325885772705078,0.12824392318725586,0.06861209869384766,1600000,0.059632062911987305
1_1600000,5.17301,compute,0.0027053356170654297,0.07183194160461426,0.0006132125854492188,1600000,0.07121920585632324
1_1600000,5.77409,compute,0.002592325210571289,0.09073472023010254,0.0006175041198730469,1600000,0.0901176929473877
1_1600000,6.38114,compute,0.0068209171295166016,0.35022544860839844,0.0002841949462890625,1600000,0.3499419689178467
1_1600000,6.38884,compute,0.015531301498413086,0.31643247604370117,0.025942564010620117,1600000,0.29049086570739746
1_1600000,6.39226,compute,0.07167339324951172,0.2117290496826172,0.0002529621124267578,1600000,0.21147656440734863
1_1600000,6.39327,compute,0.015625953674316406,0.13867425918579102,0.00026035308837890625,1600000,0.1384143829345703
1_1600000,6.39356,compute,0.0033969879150390625,0.40063905715942383,0.0007216930389404297,1600000,0.3999180793762207
1_1600000,6.39458,compute,0.0648658275604248,0.23990249633789062,0.000263214111328125,1600000,0.2396397590637207
1_1600000,6.43753,compute,0.0005464553833007812,0.03200936317443848,0.00013709068298339844,1600000,0.03187274932861328
1_1600000,6.86113,compute,0.002946615219116211,0.2687551975250244,0.0007798671722412109,1600000,0.2679760456085205
1_1600000,6.86168,compute,0.008296012878417969,0.26256823539733887,0.005579233169555664,1600000,0.2569897174835205
1_1600000,6.86174,compute,0.011355161666870117,0.16431021690368652,0.0003955364227294922,1600000,0.16391491889953613
1_1600000,6.95774,compute,0.0007464885711669922,0.07505559921264648,0.00016498565673828125,1600000,0.07489156723022461
1_1600000,6.95829,compute,0.005610942840576172,0.053913116455078125,0.005242347717285156,1600000,0.04867124557495117
1_1600000,7.00453,compute,0.0004763603210449219,0.037259817123413086,0.00014495849609375,1600000,0.03711509704589844
1_1600000,7.35722,compute,0.0057086944580078125,0.08765363693237305,0.00013303756713867188,1600000,0.08752107620239258
