id,ts,service, txDur, servDur,wait,nbIter
exp1,1614161585.6491897,compute,0.002234935760498047,0.0440068244934082,0.0006227493286132812,1100000
exp1,1614161588.6522286,compute,0.0024566650390625,0.04429197311401367,0.0005526542663574219,1100000
exp1,1614161591.6413624,compute,0.002209186553955078,0.03360438346862793,0.0005128383636474609,1100000
exp1,1614161594.646538,compute,0.0013725757598876953,0.04022359848022461,0.0002865791320800781,1100000
exp1,1614161597.6449823,compute,0.0020334720611572266,0.037456512451171875,0.0004775524139404297,1100000
exp1,1614161600.6439564,compute,0.0019135475158691406,0.03687548637390137,0.0004818439483642578,1100000
exp1,1614161603.6410363,compute,0.0020279884338378906,0.03410220146179199,0.0004558563232421875,1100000
exp1,1614161606.6445985,compute,0.0023567676544189453,0.03778338432312012,0.0005130767822265625,1100000
exp1,1614161609.6401994,compute,0.0009999275207519531,0.03487539291381836,0.00023126602172851562,1100000
exp1,1614161612.6405747,compute,0.002043008804321289,0.03297901153564453,0.0005064010620117188,1100000
exp1,1614161615.6442094,compute,0.002019166946411133,0.03665804862976074,0.0004792213439941406,1100000
exp1,1614161618.6397197,compute,0.002209901809692383,0.03371477127075195,0.00048661231994628906,1100000
exp1,1614161621.6445398,compute,0.002239227294921875,0.03724479675292969,0.0005409717559814453,1100000
exp1,1614161624.6427948,compute,0.0019872188568115234,0.03627943992614746,0.00044155120849609375,1100000
exp1,1614161627.6408126,compute,0.0021791458129882812,0.033075571060180664,0.0004646778106689453,1100000
exp1,1614161630.6480083,compute,0.0017514228820800781,0.04082155227661133,0.0004837512969970703,1100000
exp1,1614161633.6416495,compute,0.002039670944213867,0.034033775329589844,0.0005040168762207031,1100000
exp1,1614161636.6454804,compute,0.0023152828216552734,0.037697553634643555,0.0004954338073730469,1100000
exp1,1614161639.6430871,compute,0.001970052719116211,0.03618192672729492,0.0004019737243652344,1100000
exp1,1614161642.6497996,compute,0.0019588470458984375,0.04230356216430664,0.0005259513854980469,1100000
exp1,1614161645.6373577,compute,0.0012633800506591797,0.03075695037841797,0.00025272369384765625,1100000
exp1,1614161648.6442864,compute,0.002054929733276367,0.03667569160461426,0.0004658699035644531,1100000
exp1,1614161651.6414707,compute,0.0013475418090820312,0.03470969200134277,0.0002663135528564453,1100000
exp1,1614161654.640812,compute,0.0019240379333496094,0.033461809158325195,0.0004839897155761719,1100000
exp1,1614161657.6316278,compute,0.0007064342498779297,0.026287317276000977,0.0001881122589111328,1100000
exp1,1614161660.641407,compute,0.002004861831665039,0.03386735916137695,0.0005042552947998047,1100000
exp1,1614161663.6412644,compute,0.0020198822021484375,0.03433418273925781,0.0005154609680175781,1100000
exp1,1614161666.6437945,compute,0.0020089149475097656,0.03625941276550293,0.0005173683166503906,1100000
