ts,qArr,instArr,startEx,endEx,flops
261.641331,261.429000,261.429000,261.429000,261.641331,32000000.000000
261.663093,261.453000,261.453000,261.453000,261.663093,32000000.000000
261.756896,261.471000,261.471000,261.562437,261.756896,32000000.000000
261.763775,261.548000,261.562437,261.571187,261.763775,32000000.000000
261.799889,261.613000,261.613000,261.613000,261.799889,32000000.000000
261.804056,261.618000,261.618000,261.618000,261.804056,32000000.000000
261.825219,261.651000,261.651000,261.651000,261.825219,32000000.000000
261.830219,261.661000,261.661000,261.661000,261.830219,32000000.000000
261.863326,261.760000,261.760000,261.760000,261.863326,32000000.000000
261.870000,261.794000,261.794000,261.794000,261.870000,32000000.000000
261.923000,261.886000,261.886000,261.886000,261.923000,32000000.000000
261.950000,261.913000,261.913000,261.913000,261.950000,32000000.000000
262.159000,262.127000,262.127000,262.127000,262.159000,32000000.000000
262.195000,262.163000,262.163000,262.163000,262.195000,32000000.000000
262.256000,262.208000,262.208000,262.208000,262.256000,32000000.000000
262.272000,262.224000,262.224000,262.224000,262.272000,32000000.000000
262.305000,262.273000,262.273000,262.273000,262.305000,32000000.000000
262.376000,262.344000,262.344000,262.344000,262.376000,32000000.000000
262.420000,262.388000,262.388000,262.388000,262.420000,32000000.000000
262.553000,262.475000,262.475000,262.475000,262.553000,32000000.000000
262.568000,262.480000,262.480000,262.480000,262.568000,32000000.000000
262.602667,262.502000,262.502000,262.502000,262.602667,32000000.000000
262.652222,262.541000,262.541000,262.541000,262.652222,32000000.000000
262.688537,262.573000,262.573000,262.573000,262.688537,32000000.000000
262.705870,262.586000,262.586000,262.586000,262.705870,32000000.000000
262.730007,262.610000,262.610000,262.610000,262.730007,32000000.000000
262.821981,262.672000,262.672000,262.672000,262.821981,32000000.000000
262.839981,262.684000,262.684000,262.684000,262.839981,32000000.000000
262.899994,262.719000,262.719000,262.719000,262.899994,32000000.000000
262.906994,262.723000,262.723000,262.723000,262.906994,32000000.000000
262.909794,262.725000,262.725000,262.725000,262.909794,32000000.000000
262.995658,262.791000,262.791000,262.791000,262.995658,32000000.000000
263.021325,262.813000,262.813000,262.813000,263.021325,32000000.000000
263.067446,262.857000,262.857000,262.857000,263.067446,32000000.000000
263.069946,262.860000,262.860000,262.860000,263.069946,32000000.000000
263.092799,262.869000,262.869000,262.899994,263.092799,32000000.000000
263.095799,262.899000,262.899994,262.906994,263.095799,32000000.000000
263.108002,262.942000,262.942000,262.942000,263.108002,32000000.000000
263.123333,262.969000,262.969000,262.995658,263.123333,32000000.000000
263.147000,263.106000,263.106000,263.106000,263.147000,32000000.000000
263.203500,263.156000,263.156000,263.156000,263.203500,32000000.000000
263.289650,263.180000,263.180000,263.180000,263.289650,32000000.000000
263.293150,263.181000,263.181000,263.181000,263.293150,32000000.000000
263.408592,263.223000,263.223000,263.223000,263.408592,32000000.000000
263.420258,263.228000,263.228000,263.228000,263.420258,32000000.000000
263.465758,263.254000,263.254000,263.254000,263.465758,32000000.000000
263.485358,263.268000,263.268000,263.268000,263.485358,32000000.000000
263.494692,263.276000,263.276000,263.276000,263.494692,32000000.000000
263.508342,263.280000,263.280000,263.289650,263.508342,32000000.000000
263.549000,263.325000,263.325000,263.325000,263.549000,32000000.000000
263.631258,263.330000,263.330000,263.408592,263.631258,32000000.000000
263.642925,263.366000,263.408592,263.420258,263.642925,32000000.000000
263.688425,263.410000,263.420258,263.465758,263.688425,32000000.000000
263.705225,263.475000,263.475000,263.485358,263.705225,32000000.000000
263.712870,263.480000,263.485358,263.494692,263.712870,32000000.000000
263.722620,263.500000,263.500000,263.508342,263.722620,32000000.000000
263.751983,263.557000,263.557000,263.557000,263.751983,32000000.000000
263.802125,263.588000,263.588000,263.631258,263.802125,32000000.000000
263.810458,263.641000,263.641000,263.642925,263.810458,32000000.000000
263.863418,263.707000,263.707000,263.707000,263.863418,32000000.000000
263.913741,263.748000,263.748000,263.748000,263.913741,32000000.000000
263.943995,263.773000,263.773000,263.773000,263.943995,32000000.000000
263.956744,263.788000,263.788000,263.788000,263.956744,32000000.000000
263.976369,263.814000,263.814000,263.814000,263.976369,32000000.000000
263.985969,263.830000,263.830000,263.830000,263.985969,32000000.000000
264.007741,263.890000,263.890000,263.890000,264.007741,32000000.000000
264.020000,263.953000,263.953000,263.953000,264.020000,32000000.000000
264.179500,264.100000,264.100000,264.100000,264.179500,32000000.000000
264.179500,264.100000,264.100000,264.100000,264.179500,32000000.000000
264.210000,264.133000,264.133000,264.133000,264.210000,32000000.000000
264.358567,264.189000,264.189000,264.189000,264.358567,32000000.000000
264.362067,264.190000,264.190000,264.190000,264.362067,32000000.000000
264.404067,264.208000,264.208000,264.208000,264.404067,32000000.000000
264.430900,264.220000,264.220000,264.220000,264.430900,32000000.000000
264.434400,264.222000,264.222000,264.222000,264.434400,32000000.000000
264.439200,264.226000,264.226000,264.226000,264.439200,32000000.000000
264.489200,264.286000,264.286000,264.286000,264.489200,32000000.000000
264.530667,264.320000,264.320000,264.358567,264.530667,32000000.000000
264.532167,264.324000,264.358567,264.362067,264.532167,32000000.000000
264.544167,264.398000,264.398000,264.404067,264.544167,32000000.000000
264.548000,264.416000,264.416000,264.430900,264.548000,32000000.000000
264.603000,264.571000,264.571000,264.571000,264.603000,32000000.000000
264.694333,264.615000,264.615000,264.615000,264.694333,32000000.000000
264.721389,264.621000,264.621000,264.621000,264.721389,32000000.000000
264.741389,264.631000,264.631000,264.631000,264.741389,32000000.000000
264.807898,264.693000,264.693000,264.693000,264.807898,32000000.000000
264.814120,264.698000,264.698000,264.698000,264.814120,32000000.000000
264.815620,264.700000,264.700000,264.700000,264.815620,32000000.000000
264.886375,264.794000,264.794000,264.794000,264.886375,32000000.000000
264.889875,264.801000,264.801000,264.801000,264.889875,32000000.000000
264.903000,264.835000,264.835000,264.835000,264.903000,32000000.000000
264.952000,264.920000,264.920000,264.920000,264.952000,32000000.000000
265.065000,264.977000,264.977000,264.977000,265.065000,32000000.000000
265.071000,264.980000,264.980000,264.980000,265.071000,32000000.000000
265.073000,264.984000,264.984000,264.984000,265.073000,32000000.000000
265.149000,265.100000,265.100000,265.100000,265.149000,32000000.000000
265.178000,265.115000,265.115000,265.115000,265.178000,32000000.000000
265.297883,265.157000,265.157000,265.157000,265.297883,32000000.000000
265.297883,265.157000,265.157000,265.157000,265.297883,32000000.000000
265.354883,265.183000,265.183000,265.183000,265.354883,32000000.000000
265.369883,265.192000,265.192000,265.192000,265.369883,32000000.000000
265.400354,265.217000,265.217000,265.217000,265.400354,32000000.000000
265.418754,265.240000,265.240000,265.240000,265.418754,32000000.000000
265.426754,265.256000,265.256000,265.256000,265.426754,32000000.000000
265.448385,265.281000,265.281000,265.297883,265.448385,32000000.000000
265.516053,265.373000,265.373000,265.373000,265.516053,32000000.000000
265.586026,265.429000,265.429000,265.429000,265.586026,32000000.000000
265.597693,265.436000,265.436000,265.436000,265.597693,32000000.000000
265.598693,265.437000,265.437000,265.437000,265.598693,32000000.000000
265.608235,265.452000,265.452000,265.452000,265.608235,32000000.000000
265.628635,265.503000,265.503000,265.503000,265.628635,32000000.000000
265.644000,265.582000,265.582000,265.582000,265.644000,32000000.000000
265.778667,265.674000,265.674000,265.674000,265.778667,32000000.000000
265.793667,265.679000,265.679000,265.679000,265.793667,32000000.000000
265.795667,265.681000,265.681000,265.681000,265.795667,32000000.000000
265.802000,265.700000,265.700000,265.700000,265.802000,32000000.000000
265.860000,265.828000,265.828000,265.828000,265.860000,32000000.000000
265.934500,265.877000,265.877000,265.877000,265.934500,32000000.000000
265.961000,265.886000,265.886000,265.886000,265.961000,32000000.000000
266.060583,265.927000,265.927000,265.927000,266.060583,32000000.000000
266.087583,265.943000,265.943000,265.943000,266.087583,32000000.000000
266.090583,265.946000,265.946000,265.946000,266.090583,32000000.000000
266.100750,265.965000,265.965000,265.965000,266.100750,32000000.000000
266.101000,265.966000,265.966000,265.966000,266.101000,32000000.000000
266.205483,266.130000,266.130000,266.130000,266.205483,32000000.000000
266.288897,266.142000,266.142000,266.142000,266.288897,32000000.000000
266.365897,266.164000,266.164000,266.164000,266.365897,32000000.000000
266.375231,266.168000,266.168000,266.168000,266.375231,32000000.000000
266.404981,266.185000,266.185000,266.185000,266.404981,32000000.000000
266.410581,266.189000,266.189000,266.189000,266.410581,32000000.000000
266.423414,266.200000,266.200000,266.200000,266.423414,32000000.000000
266.433000,266.209000,266.209000,266.209000,266.433000,32000000.000000
266.512897,266.215000,266.215000,266.288897,266.512897,32000000.000000
266.589897,266.234000,266.288897,266.365897,266.589897,32000000.000000
266.599231,266.327000,266.375231,266.404981,266.599231,32000000.000000
266.628981,266.599231,266.599231,266.599231,266.628981,32000000.000000
266.634581,266.335000,266.410581,266.423414,266.634581,32000000.000000
266.646344,266.634581,266.634581,266.634581,266.646344,32000000.000000
266.654561,266.387000,266.433000,266.512897,266.654561,32000000.000000
266.722556,266.654561,266.654561,266.654561,266.722556,32000000.000000
266.777556,266.419000,266.512897,266.589897,266.777556,32000000.000000
266.783612,266.480000,266.589897,266.599231,266.783612,32000000.000000
266.800612,266.526000,266.599231,266.628981,266.800612,32000000.000000
266.807369,266.641000,266.641000,266.641000,266.807369,32000000.000000
266.817852,266.657000,266.657000,266.657000,266.817852,32000000.000000
266.895355,266.780000,266.780000,266.780000,266.895355,32000000.000000
266.923786,266.803000,266.803000,266.803000,266.923786,32000000.000000
266.927786,266.807000,266.807000,266.807000,266.927786,32000000.000000
266.983024,266.859000,266.859000,266.859000,266.983024,32000000.000000
267.010365,266.890000,266.890000,266.890000,267.010365,32000000.000000
267.014812,266.897000,266.897000,266.897000,267.014812,32000000.000000
267.048335,266.959000,266.959000,266.959000,267.048335,32000000.000000
267.058000,266.994000,266.994000,266.994000,267.058000,32000000.000000
267.224900,267.134000,267.134000,267.134000,267.224900,32000000.000000
267.288893,267.145000,267.145000,267.145000,267.288893,32000000.000000
267.341393,267.160000,267.160000,267.160000,267.341393,32000000.000000
267.355393,267.166000,267.166000,267.166000,267.355393,32000000.000000
267.372709,267.177000,267.177000,267.177000,267.372709,32000000.000000
267.400309,267.200000,267.200000,267.200000,267.400309,32000000.000000
267.448159,267.252000,267.252000,267.252000,267.448159,32000000.000000
267.456826,267.265000,267.265000,267.265000,267.456826,32000000.000000
267.467066,267.280000,267.280000,267.288893,267.467066,32000000.000000
267.496497,267.312000,267.312000,267.341393,267.496497,32000000.000000
267.517245,267.367000,267.367000,267.367000,267.517245,32000000.000000
267.668015,267.470000,267.470000,267.470000,267.668015,32000000.000000
267.677348,267.474000,267.474000,267.474000,267.677348,32000000.000000
267.684348,267.478000,267.478000,267.478000,267.684348,32000000.000000
267.716374,267.500000,267.500000,267.500000,267.716374,32000000.000000
267.730374,267.510000,267.510000,267.510000,267.730374,32000000.000000
267.731374,267.511000,267.511000,267.511000,267.731374,32000000.000000
267.753557,267.538000,267.538000,267.538000,267.753557,32000000.000000
267.877161,267.544000,267.544000,267.668015,267.877161,32000000.000000
267.886021,267.650000,267.677348,267.684348,267.886021,32000000.000000
267.892021,267.886021,267.886021,267.886021,267.892021,32000000.000000
