id,ts,service, txDur, servDur,wait,nbIter,execDur
1_1600000,0,compute,0.0010209083557128906,0.11304759979248047,0.0002014636993408203,1600000,0.11284708976745605
1_1600000,0.004498,compute,0.005761623382568359,0.10047578811645508,0.017903566360473633,1600000,0.08257269859313965
1_1600000,0.00728679,compute,0.005493879318237305,0.07653927803039551,0.01691126823425293,1600000,0.05962872505187988
1_1600000,0.24398,compute,0.0028188228607177734,0.07329559326171875,0.0007278919219970703,1600000,0.07256817817687988
1_1600000,0.390155,compute,0.0024476051330566406,0.07103133201599121,0.000560760498046875,1600000,0.07047104835510254
1_1600000,0.764554,compute,0.0027227401733398438,0.1057898998260498,0.0005810260772705078,1600000,0.1052093505859375
1_1600000,0.76667,compute,0.0057141780853271484,0.046675920486450195,0.008804559707641602,1600000,0.037871599197387695
1_1600000,1.23919,compute,0.0025675296783447266,0.10159635543823242,0.0005948543548583984,1600000,0.10100197792053223
1_1600000,1.24127,compute,0.005559444427490234,0.03945565223693848,0.006024599075317383,1600000,0.033431291580200195
1_1600000,1.43122,compute,0.0027091503143310547,0.07183098793029785,0.0005853176116943359,1600000,0.07124614715576172
1_1600000,1.73195,compute,0.002513885498046875,0.07047224044799805,0.0005645751953125,1600000,0.06990790367126465
1_1600000,1.9352,compute,0.0027031898498535156,0.10273313522338867,0.0006177425384521484,1600000,0.10211634635925293
1_1600000,1.93752,compute,0.006022930145263672,0.05616426467895508,0.017560243606567383,1600000,0.0386044979095459
1_1600000,2.40217,compute,0.0007441043853759766,0.0807657241821289,0.0001595020294189453,1600000,0.08060669898986816
1_1600000,2.40403,compute,0.004698753356933594,0.07709670066833496,0.015012979507446289,1600000,0.062084197998046875
1_1600000,2.71768,compute,0.0007977485656738281,0.03224992752075195,0.0001475811004638672,1600000,0.03210306167602539
1_1600000,2.75148,compute,0.000457763671875,0.03176522254943848,0.00012230873107910156,1600000,0.03164315223693848
1_1600000,3.02285,compute,0.002716064453125,0.07118821144104004,0.0005965232849121094,1600000,0.07059216499328613
1_1600000,3.07076,compute,0.0006084442138671875,0.03983330726623535,0.00014543533325195312,1600000,0.0396883487701416
1_1600000,3.35133,compute,0.0006766319274902344,0.03210186958312988,0.00014328956604003906,1600000,0.03195905685424805
1_1600000,3.48091,compute,0.0006566047668457031,0.04889273643493652,0.0001499652862548828,1600000,0.048743486404418945
1_1600000,3.60265,compute,0.0007543563842773438,0.04051351547241211,0.00016570091247558594,1600000,0.04034876823425293
1_1600000,3.7711,compute,0.0007617473602294922,0.03190302848815918,0.00015020370483398438,1600000,0.0317537784576416
1_1600000,3.83365,compute,0.000743865966796875,0.041356801986694336,0.00014448165893554688,1600000,0.04121279716491699
1_1600000,3.88001,compute,0.0006654262542724609,0.043091535568237305,0.00015044212341308594,1600000,0.04294180870056152
1_1600000,3.92914,compute,0.0006868839263916016,0.041144371032714844,0.00014591217041015625,1600000,0.04099917411804199
1_1600000,4.1934,compute,0.0027933120727539062,0.07083702087402344,0.0005939006805419922,1600000,0.07024335861206055
1_1600000,4.23893,compute,0.0006139278411865234,0.03194069862365723,0.00013637542724609375,1600000,0.031804800033569336
1_1600000,4.73682,compute,0.00115966796875,0.10592031478881836,0.00023794174194335938,1600000,0.1056828498840332
1_1600000,4.74806,compute,0.005579233169555664,0.10322880744934082,0.018079280853271484,1600000,0.08514976501464844
1_1600000,4.75124,compute,0.005406856536865234,0.07760787010192871,0.020285844802856445,1600000,0.05732250213623047
1_1600000,4.88358,compute,0.0008835792541503906,0.10616254806518555,0.00016236305236816406,1600000,0.10600042343139648
1_1600000,4.89278,compute,0.005657672882080078,0.10088133811950684,0.01803421974182129,1600000,0.08284759521484375
1_1600000,4.89469,compute,0.004857540130615234,0.07357549667358398,0.017805814743041992,1600000,0.055769920349121094
1_1600000,5.1815,compute,0.002618074417114258,0.04999518394470215,0.0005984306335449219,1600000,0.04939699172973633
1_1600000,5.78797,compute,0.0026688575744628906,0.07403159141540527,0.0005559921264648438,1600000,0.07347583770751953
1_1600000,6.17209,compute,0.0025055408477783203,0.1497054100036621,0.0005791187286376953,1600000,0.14912700653076172
1_1600000,6.20705,compute,0.0062596797943115234,0.1464366912841797,0.017313480377197266,1600000,0.12912344932556152
1_1600000,6.2316,compute,0.011999130249023438,0.13232779502868652,0.026322126388549805,1600000,0.10600662231445312
1_1600000,6.23293,compute,0.01056814193725586,0.10209774971008301,0.010162353515625,1600000,0.09193587303161621
1_1600000,6.23881,compute,0.007059812545776367,0.09253644943237305,0.020537853240966797,1600000,0.07199907302856445
1_1600000,6.31152,compute,0.0007560253143310547,0.0412137508392334,0.00016736984252929688,1600000,0.041047096252441406
1_1600000,6.51185,compute,0.002629995346069336,0.07347440719604492,0.0005748271942138672,1600000,0.07290029525756836
1_1600000,6.75989,compute,0.007987499237060547,0.13068532943725586,0.017795324325561523,1600000,0.11289072036743164
1_1600000,6.76038,compute,0.002853870391845703,0.13756322860717773,0.0006749629974365234,1600000,0.1368885040283203
1_1600000,6.76951,compute,0.00579524040222168,0.04738020896911621,0.00734710693359375,1600000,0.040033578872680664
1_1600000,7.01639,compute,0.0015566349029541016,0.10225462913513184,0.00032973289489746094,1600000,0.10192561149597168
1_1600000,7.02387,compute,0.006013154983520508,0.08854222297668457,0.017612695693969727,1600000,0.07093024253845215
1_1600000,7.05002,compute,0.0006556510925292969,0.051560163497924805,0.0005452632904052734,1600000,0.051015377044677734
1_1600000,7.38057,compute,0.0014057159423828125,0.10653805732727051,0.0003063678741455078,1600000,0.1062321662902832
