id,ts,service, txDur, servDur,wait,nbIter,execDur,parNum
exp_1CORE,0,compute,0.0033719539642333984,0.11049246788024902,0.0008096694946289062,1100000,0.10968351364135742,0
exp_1CORE,0.00129128,compute,0.006013393402099609,0.07030749320983887,0.01573777198791504,1100000,0.05456995964050293,0
exp_1CORE,0.227115,compute,0.0008413791656494141,0.08816742897033691,0.00021576881408691406,1100000,0.0879521369934082,0
exp_1CORE,0.23101,compute,0.007818937301635742,0.04971814155578613,0.0010249614715576172,1100000,0.04869365692138672,0
exp_1CORE,0.349984,compute,0.0008044242858886719,0.03313159942626953,0.00016260147094726562,1100000,0.03296947479248047,0
exp_1CORE,0.74484,compute,0.006040334701538086,0.08232283592224121,0.0005059242248535156,1100000,0.081817626953125,0
exp_1CORE,1.23849,compute,0.003384113311767578,0.10047507286071777,0.0006330013275146484,1100000,0.09984278678894043,1
exp_1CORE,1.24485,compute,0.013806819915771484,0.03502345085144043,0.0001728534698486328,1100000,0.0348513126373291,0
exp_1CORE,1.41841,compute,0.0021843910217285156,0.05981111526489258,0.0004942417144775391,1100000,0.059317588806152344,0
exp_1CORE,1.72153,compute,0.002534151077270508,0.06047248840332031,0.0005908012390136719,1100000,0.059882164001464844,0
exp_1CORE,1.91401,compute,0.002235889434814453,0.08233404159545898,0.0004937648773193359,1100000,0.08184099197387695,0
exp_1CORE,1.91552,compute,0.005747079849243164,0.03482770919799805,0.008705615997314453,1100000,0.026122570037841797,0
exp_1CORE,2.41355,compute,0.0030431747436523438,0.08971524238586426,0.0005786418914794922,1100000,0.08913707733154297,0
exp_1CORE,2.41505,compute,0.007326841354370117,0.08555102348327637,0.01776123046875,1100000,0.06779050827026367,0
exp_1CORE,2.76931,compute,0.002634763717651367,0.0819852352142334,0.0005538463592529297,1100000,0.08143186569213867,0
exp_1CORE,2.77036,compute,0.006031513214111328,0.0452883243560791,0.01691436767578125,1100000,0.028374433517456055,0
exp_1CORE,3.02071,compute,0.0023632049560546875,0.06987333297729492,0.0006313323974609375,1100000,0.06924271583557129,0
exp_1CORE,3.05705,compute,0.0005946159362792969,0.02631402015686035,0.00015735626220703125,1100000,0.026157140731811523,0
exp_1CORE,3.38054,compute,0.0023534297943115234,0.05971860885620117,0.0005459785461425781,1100000,0.0591733455657959,0
exp_1CORE,3.47724,compute,0.0011250972747802734,0.04485154151916504,0.000225067138671875,1100000,0.04462695121765137,0
exp_1CORE,3.6242,compute,0.0024771690368652344,0.06032133102416992,0.0005965232849121094,1100000,0.05972552299499512,0
exp_1CORE,3.82349,compute,0.002508401870727539,0.08252620697021484,0.0006587505340576172,1100000,0.08186793327331543,0
exp_1CORE,3.82722,compute,0.0055828094482421875,0.030684947967529297,0.00036787986755371094,1100000,0.03031754493713379,0
exp_1CORE,3.85967,compute,0.0005974769592285156,0.022948026657104492,0.0001289844512939453,1100000,0.02281928062438965,0
exp_1CORE,3.91484,compute,0.0010073184967041016,0.026664257049560547,0.00020122528076171875,1100000,0.026463747024536133,0
exp_1CORE,4.18507,compute,0.0026595592498779297,0.06285524368286133,0.0005605220794677734,1100000,0.06229543685913086,0
exp_1CORE,4.23597,compute,0.0007979869842529297,0.029117822647094727,0.00016498565673828125,1100000,0.02895355224609375,0
exp_1CORE,4.73305,compute,0.00746464729309082,0.09626650810241699,0.0002288818359375,1100000,0.0960383415222168,0
exp_1CORE,4.73649,compute,0.010764122009277344,0.08675360679626465,0.017493009567260742,1100000,0.06926131248474121,0
exp_1CORE,4.73979,compute,0.005233287811279297,0.06328868865966797,0.018913745880126953,1100000,0.04437565803527832,0
exp_1CORE,4.85164,compute,0.00092315673828125,0.07446527481079102,0.0001773834228515625,1100000,0.07428860664367676,0
exp_1CORE,4.8532,compute,0.0056476593017578125,0.06160449981689453,0.014254331588745117,1100000,0.04735088348388672,0
exp_1CORE,4.85681,compute,0.005315542221069336,0.03560185432434082,0.006193876266479492,1100000,0.029408693313598633,0
exp_1CORE,5.19023,compute,0.0026693344116210938,0.05892825126647949,0.0005555152893066406,1100000,0.05837368965148926,0
exp_1CORE,5.75427,compute,0.0027098655700683594,0.04068446159362793,0.00063323974609375,1100000,0.040051937103271484,0
exp_1CORE,6.12845,compute,0.002702474594116211,0.10596704483032227,0.0005881786346435547,1100000,0.10537958145141602,1
exp_1CORE,6.1356,compute,0.006211280822753906,0.07533740997314453,0.017922163009643555,1100000,0.05741572380065918,1
exp_1CORE,6.17045,compute,0.005532979965209961,0.07801437377929688,0.010531902313232422,1100000,0.06748318672180176,1
exp_1CORE,6.18071,compute,0.0024433135986328125,0.05832266807556152,0.00727391242980957,1100000,0.051048994064331055,0
exp_1CORE,6.18534,compute,0.005554676055908203,0.04084920883178711,0.008014917373657227,1100000,0.032834768295288086,0
exp_1CORE,6.30588,compute,0.0011637210845947266,0.035562753677368164,0.00023221969604492188,1100000,0.035331010818481445,0
exp_1CORE,6.48621,compute,0.0025954246520996094,0.04789900779724121,0.000598907470703125,1100000,0.04730057716369629,0
exp_1CORE,6.7058,compute,0.003162860870361328,0.08307433128356934,0.0005755424499511719,1100000,0.08249926567077637,0
exp_1CORE,6.70703,compute,0.007490634918212891,0.07863497734069824,0.017874956130981445,1100000,0.060760498046875,0
exp_1CORE,6.73997,compute,0.0005955696105957031,0.02321934700012207,0.00013756752014160156,1100000,0.023082494735717773,0
exp_1CORE,6.99227,compute,0.0047149658203125,0.07498884201049805,0.000560760498046875,1100000,0.07442855834960938,0
