id,ts,service, txDur, servDur,wait,nbIter,execDur,parExec
exp_1CORE_CAL,0,compute,0.003081798553466797,0.07807159423828125,0.0007963180541992188,2200000,0.07727551460266113,0
exp_1CORE_CAL,3.00971,compute,0.003329038619995117,0.08527112007141113,0.0006024837493896484,2200000,0.08466911315917969,0
exp_1CORE_CAL,6.00253,compute,0.003391742706298828,0.07805609703063965,0.0006439685821533203,2200000,0.07741260528564453,0
exp_1CORE_CAL,9.02136,compute,0.0025179386138916016,0.09798932075500488,0.0005428791046142578,2200000,0.09744691848754883,0
exp_1CORE_CAL,12.0134,compute,0.003117084503173828,0.08938097953796387,0.0006842613220214844,2200000,0.08869719505310059,0
exp_1CORE_CAL,14.9961,compute,0.0011286735534667969,0.07438492774963379,0.0002307891845703125,2200000,0.07415461540222168,0
exp_1CORE_CAL,18.011,compute,0.0029146671295166016,0.08718109130859375,0.0006542205810546875,2200000,0.08652734756469727,0
exp_1CORE_CAL,21.0175,compute,0.003515481948852539,0.09286785125732422,0.0006453990936279297,2200000,0.09222292900085449,0
exp_1CORE_CAL,24.0155,compute,0.0024802684783935547,0.09195423126220703,0.0005838871002197266,2200000,0.0913705825805664,0
exp_1CORE_CAL,27.0068,compute,0.0029125213623046875,0.0828096866607666,0.0006420612335205078,2200000,0.0821678638458252,0
exp_1CORE_CAL,29.9962,compute,0.0012326240539550781,0.07627582550048828,0.00026726722717285156,2200000,0.07600903511047363,0
exp_1CORE_CAL,33.0139,compute,0.003133535385131836,0.08995342254638672,0.0006067752838134766,2200000,0.08934688568115234,0
exp_1CORE_CAL,35.983,compute,0.002828359603881836,0.05909585952758789,0.0006070137023925781,2200000,0.058489322662353516,0
exp_1CORE_CAL,39.0077,compute,0.0025620460510253906,0.08434653282165527,0.0005590915679931641,2200000,0.08378791809082031,0
exp_1CORE_CAL,41.9839,compute,0.002964019775390625,0.059786081314086914,0.0006971359252929688,2200000,0.05908942222595215,0
exp_1CORE_CAL,45.0163,compute,0.0028574466705322266,0.0926046371459961,0.0006048679351806641,2200000,0.09200024604797363,0
exp_1CORE_CAL,47.9827,compute,0.002945423126220703,0.05890965461730957,0.000659942626953125,2200000,0.05825042724609375,0
exp_1CORE_CAL,50.9844,compute,0.0054547786712646484,0.05804181098937988,0.0006418228149414062,2200000,0.05740022659301758,0
exp_1CORE_CAL,54.0083,compute,0.0030126571655273438,0.08424806594848633,0.0006911754608154297,2200000,0.0835573673248291,0
exp_1CORE_CAL,57.012,compute,0.0030319690704345703,0.0878453254699707,0.0005843639373779297,2200000,0.08726167678833008,0
exp_1CORE_CAL,60.0073,compute,0.002346038818359375,0.08411884307861328,0.0005948543548583984,2200000,0.08352470397949219,0
exp_1CORE_CAL,63.0084,compute,0.0025358200073242188,0.08473658561706543,0.0005540847778320312,2200000,0.0841829776763916,0
exp_1CORE_CAL,66.0095,compute,0.003003358840942383,0.08550047874450684,0.0006697177886962891,2200000,0.08483123779296875,0
exp_1CORE_CAL,69.0043,compute,0.0026917457580566406,0.08081698417663574,0.0005609989166259766,2200000,0.08025646209716797,0
exp_1CORE_CAL,71.9813,compute,0.002509593963623047,0.05800175666809082,0.000560760498046875,2200000,0.05744171142578125,0
exp_1CORE_CAL,74.9764,compute,0.0011372566223144531,0.05439257621765137,0.0001614093780517578,2200000,0.05423164367675781,0
exp_1CORE_CAL,78,compute,0.001285552978515625,0.07789826393127441,0.00037360191345214844,2200000,0.07752537727355957,0
exp_1CORE_CAL,81.0053,compute,0.0026183128356933594,0.08157968521118164,0.0005917549133300781,2200000,0.08098840713500977,0
exp_1CORE_CAL,84.0095,compute,0.0026595592498779297,0.08673667907714844,0.0005805492401123047,2200000,0.08615636825561523,0
exp_1CORE_CAL,86.9825,compute,0.0026307106018066406,0.05904722213745117,0.0005559921264648438,2200000,0.05849170684814453,0
exp_1CORE_CAL,90.0059,compute,0.0026254653930664062,0.08217620849609375,0.0005903244018554688,2200000,0.08158636093139648,0
exp_1CORE_CAL,92.9671,compute,0.0006206035614013672,0.04599332809448242,0.0001430511474609375,2200000,0.045850515365600586,0
exp_1CORE_CAL,96.0054,compute,0.001619577407836914,0.08316588401794434,0.0003886222839355469,2200000,0.08277773857116699,0
exp_1CORE_CAL,99.01,compute,0.002725362777709961,0.08651518821716309,0.0007009506225585938,2200000,0.0858147144317627,0
exp_1CORE_CAL,101.979,compute,0.002792835235595703,0.05582547187805176,0.0007181167602539062,2200000,0.055107831954956055,0
exp_1CORE_CAL,105.007,compute,0.0025696754455566406,0.08373594284057617,0.0005486011505126953,2200000,0.08318805694580078,0
exp_1CORE_CAL,108.002,compute,0.0016202926635742188,0.08001351356506348,0.00034117698669433594,2200000,0.07967281341552734,0
exp_1CORE_CAL,111.009,compute,0.0016450881958007812,0.08629608154296875,0.00032901763916015625,2200000,0.0859675407409668,0
exp_1CORE_CAL,113.993,compute,0.0015912055969238281,0.0704660415649414,0.00033020973205566406,2200000,0.07013630867004395,0
exp_1CORE_CAL,116.984,compute,0.0012433528900146484,0.06243395805358887,0.0002751350402832031,2200000,0.06215953826904297,0
exp_1CORE_CAL,119.987,compute,0.0011775493621826172,0.0649251937866211,0.0002942085266113281,2200000,0.06463122367858887,0
exp_1CORE_CAL,122.986,compute,0.0009348392486572266,0.06463432312011719,0.00018358230590820312,2200000,0.06445121765136719,0
exp_1CORE_CAL,125.987,compute,0.001191854476928711,0.06502342224121094,0.00024437904357910156,2200000,0.06477952003479004,0
