ts,qArr,instArr,startEx,endEx,flops
11.313000,11.287000,11.287000,11.287000,11.313000,26000000.000000
11.364000,11.338000,11.338000,11.338000,11.364000,26000000.000000
11.459000,11.426000,11.426000,11.426000,11.459000,26000000.000000
11.478000,11.445000,11.445000,11.445000,11.478000,26000000.000000
11.537000,11.510000,11.510000,11.510000,11.537000,26000000.000000
11.570000,11.535000,11.535000,11.535000,11.570000,26000000.000000
11.588000,11.554000,11.554000,11.554000,11.588000,26000000.000000
11.614000,11.588000,11.588000,11.588000,11.614000,26000000.000000
11.890000,11.864000,11.864000,11.864000,11.890000,26000000.000000
11.947000,11.908000,11.908000,11.908000,11.947000,26000000.000000
11.960000,11.921000,11.921000,11.921000,11.960000,26000000.000000
12.022000,11.970000,11.970000,11.970000,12.022000,26000000.000000
12.022000,11.970000,11.970000,11.970000,12.022000,26000000.000000
12.226000,12.189000,12.189000,12.189000,12.226000,26000000.000000
12.249000,12.204000,12.204000,12.204000,12.249000,26000000.000000
12.267000,12.233000,12.233000,12.233000,12.267000,26000000.000000
12.400000,12.374000,12.374000,12.374000,12.400000,26000000.000000
12.521000,12.479000,12.479000,12.479000,12.521000,26000000.000000
12.531000,12.489000,12.489000,12.489000,12.531000,26000000.000000
12.586000,12.560000,12.560000,12.560000,12.586000,26000000.000000
12.659000,12.633000,12.633000,12.633000,12.659000,26000000.000000
12.713000,12.687000,12.687000,12.687000,12.713000,26000000.000000
12.748000,12.722000,12.722000,12.722000,12.748000,26000000.000000
12.807000,12.781000,12.781000,12.781000,12.807000,26000000.000000
12.972000,12.934000,12.934000,12.934000,12.972000,26000000.000000
13.010000,12.953000,12.953000,12.953000,13.010000,26000000.000000
13.012000,12.957000,12.957000,12.957000,13.012000,26000000.000000
13.400500,13.340000,13.340000,13.340000,13.400500,26000000.000000
13.400500,13.340000,13.340000,13.340000,13.400500,26000000.000000
13.429000,13.375000,13.375000,13.375000,13.429000,26000000.000000
13.444000,13.407000,13.407000,13.407000,13.444000,26000000.000000
13.477000,13.451000,13.451000,13.451000,13.477000,26000000.000000
13.641000,13.597000,13.597000,13.597000,13.641000,26000000.000000
13.684667,13.612000,13.612000,13.612000,13.684667,26000000.000000
13.696667,13.620000,13.620000,13.620000,13.696667,26000000.000000
13.716667,13.647000,13.647000,13.647000,13.716667,26000000.000000
13.727000,13.678000,13.678000,13.678000,13.727000,26000000.000000
13.758000,13.732000,13.732000,13.732000,13.758000,26000000.000000
