Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Final Batch Dispatch Time,18.05.2021;11:34:42110
0.5,8.0,8,0,0,0.015,0.468
1.5,16.0,16,0,0,0.014,1.463
2.5,25.0,25,0,0,0.013,2.479
3.5,33.0,33,0,0,0.014,3.513
4.5,41.0,41,0,0,0.012,4.518
5.5,50.0,49,0,0,0.011,5.493
6.5,58.0,58,0,0,0.011,6.495
7.5,66.0,67,0,0,0.011,7.494
8.5,75.0,75,0,0,0.011,8.496
9.5,83.0,81,0,0,0.011,9.489
10.5,91.0,91,0,0,0.011,10.489
11.5,100.0,99,0,0,0.011,11.489
12.5,108.0,111,0,0,0.011,12.503
13.5,116.0,114,0,0,0.011,13.491
14.5,125.0,126,0,0,0.011,14.503
15.5,133.0,134,0,0,0.011,15.499
16.5,141.0,139,0,0,0.011,16.502
17.5,150.0,149,0,0,0.011,17.494
18.5,158.0,158,0,0,0.011,18.486
19.5,166.0,169,0,0,0.011,19.498
20.5,175.0,171,0,0,0.011,20.488
21.5,183.0,185,0,0,0.011,21.494
22.5,191.0,191,0,0,0.011,22.495
23.5,200.0,200,0,0,0.011,23.491
24.5,208.0,208,0,0,0.011,24.491
25.5,216.0,215,0,0,0.011,25.487
26.5,225.0,220,0,0,0.011,26.487
27.5,233.0,237,0,0,0.011,27.491
28.5,241.0,240,0,0,0.011,28.497
29.5,250.0,251,0,0,0.011,29.493
30.5,258.0,258,0,0,0.011,30.497
31.5,266.0,268,0,0,0.011,31.495
32.5,275.0,273,0,0,0.011,32.494
33.5,283.0,284,0,0,0.012,33.496
34.5,291.0,261,0,0,0.011,34.503
35.5,300.0,328,0,0,0.063,35.499
36.5,308.0,311,0,0,0.011,36.501
37.5,316.0,312,0,0,0.011,37.494
38.5,325.0,325,0,0,0.011,38.493
39.5,333.0,334,0,0,0.012,39.495
40.5,341.0,343,0,0,0.012,40.498
41.5,350.0,349,0,0,0.012,41.49
42.5,358.0,359,0,0,0.012,42.494
43.5,366.0,365,0,0,0.03,43.504
44.5,375.0,373,0,0,0.013,44.488
45.5,383.0,344,0,0,0.028,45.493
46.5,391.0,426,0,0,0.022,46.493
47.5,400.0,407,0,0,0.013,47.495
48.5,408.0,406,0,0,0.013,48.493
49.5,416.0,416,0,0,0.013,49.492
50.5,425.0,424,0,0,0.013,50.494
51.5,433.0,431,0,0,0.014,51.488
52.5,441.0,447,0,0,0.013,52.494
53.5,450.0,441,0,0,0.014,53.493
54.5,458.0,469,0,0,0.014,54.501
55.5,466.0,444,0,0,0.015,55.49
56.5,475.0,486,0,0,0.033,56.497
57.5,483.0,487,0,0,0.016,57.492
58.5,491.0,491,0,0,0.016,58.496
59.5,500.0,504,0,0,0.016,59.492
60.5,508.0,502,0,0,0.015,60.491
61.5,516.0,521,0,0,0.02,61.499
62.5,525.0,525,0,0,0.018,62.494
63.5,533.0,516,0,0,0.017,63.49
64.5,541.0,551,0,0,0.02,64.495
65.5,550.0,559,0,0,0.022,65.506
66.5,558.0,537,0,0,0.023,66.501
67.5,566.0,585,0,0,0.025,67.504
68.5,575.0,573,0,0,0.023,68.494
69.5,583.0,586,0,0,0.024,69.5
70.5,591.0,574,0,0,0.022,70.491
71.5,600.0,603,0,0,0.035,71.495
72.5,608.0,610,0,0,0.049,72.49
73.5,616.0,619,0,0,0.029,73.493
74.5,625.0,629,0,0,0.026,74.5
75.5,633.0,636,0,0,0.033,75.494
76.5,641.0,618,0,0,0.034,76.493
77.5,650.0,624,0,0,0.05,77.497
78.5,658.0,691,0,0,0.076,78.491
79.5,666.0,653,0,0,0.043,79.49
80.5,675.0,617,0,0,0.08,80.496
81.5,683.0,716,0,0,0.091,81.493
82.5,691.0,690,0,0,0.081,82.497
83.5,700.0,658,0,0,0.096,83.496
84.5,708.0,683,0,0,0.091,84.487
85.5,716.0,735,0,0,0.09,85.505
86.5,725.0,715,0,0,0.088,86.496
87.5,733.0,714,0,0,0.089,87.495
88.5,741.0,696,0,0,0.089,88.488
89.5,750.0,672,0,0,0.097,89.496
90.5,758.0,723,0,0,0.089,90.491
91.5,766.0,724,0,0,0.088,91.497
92.5,775.0,715,0,0,0.089,92.491
93.5,783.0,719,0,0,0.088,93.496
94.5,791.0,676,0,0,0.094,94.491
95.5,800.0,709,0,0,0.092,95.496
96.5,808.0,694,0,0,0.092,96.502
97.5,816.0,690,0,0,0.089,97.492
98.5,825.0,704,0,0,0.093,98.506
99.5,833.0,702,0,0,0.089,99.488
100.5,841.0,639,0,0,0.098,100.487
101.5,850.0,722,0,0,0.09,101.494
102.5,858.0,664,0,0,0.095,102.49
103.5,866.0,714,0,0,0.09,103.493
104.5,875.0,699,0,0,0.089,104.49
105.5,883.0,714,0,0,0.09,105.493
106.5,891.0,674,0,0,0.095,106.488
107.5,900.0,716,0,0,0.092,107.506
108.5,908.0,659,0,0,0.092,108.489
109.5,916.0,725,0,0,0.088,109.491
110.5,925.0,730,0,0,0.089,110.497
111.5,933.0,675,0,0,0.094,111.507
112.5,941.0,678,0,0,0.093,112.488
