0.5,8.333333333
1.5,16.66666667
2.5,25
3.5,33.33333333
4.5,41.66666667
5.5,50
6.5,58.33333333
7.5,66.66666667
8.5,75
9.5,83.33333333
10.5,91.66666667
11.5,100
12.5,108.3333333
13.5,116.6666667
14.5,125
15.5,133.3333333
16.5,141.6666667
17.5,150
18.5,158.3333333
19.5,166.6666667
20.5,175
21.5,183.3333333
22.5,191.6666667
23.5,200
24.5,208.3333333
25.5,216.6666667
26.5,225
27.5,233.3333333
28.5,241.6666667
29.5,250
30.5,258.3333333
31.5,266.6666667
32.5,275
33.5,283.3333333
34.5,291.6666667
35.5,300
36.5,308.3333333
37.5,316.6666667
38.5,325
39.5,333.3333333
40.5,341.6666667
41.5,350
42.5,358.3333333
43.5,366.6666667
44.5,375
45.5,383.3333333
46.5,391.6666667
47.5,400
48.5,408.3333333
49.5,416.6666667
50.5,425
51.5,433.3333333
52.5,441.6666667
53.5,450
54.5,458.3333333
55.5,466.6666667
56.5,475
57.5,483.3333333
58.5,491.6666667
59.5,500
60.5,508.3333333
61.5,516.6666667
62.5,525
63.5,533.3333333
64.5,541.6666667
65.5,550
66.5,558.3333333
67.5,566.6666667
68.5,575
69.5,583.3333333
70.5,591.6666667
71.5,600
