ts,qArr,instArr,startEx,endEx,flops,serv
4.000420,4.000000,4.000000,4.000000,4.000420,419800.000000,service1
4.000500,4.000420,4.000420,4.000420,4.000500,80300.000000,service2
7.000420,7.000000,7.000000,7.000000,7.000420,419800.000000,service1
7.000500,7.000420,7.000420,7.000420,7.000500,80300.000000,service2
10.000420,10.000000,10.000000,10.000000,10.000420,419800.000000,service1
10.000500,10.000420,10.000420,10.000420,10.000500,80300.000000,service2
13.000420,13.000000,13.000000,13.000000,13.000420,419800.000000,service1
13.000500,13.000420,13.000420,13.000420,13.000500,80300.000000,service2
16.000420,16.000000,16.000000,16.000000,16.000420,419800.000000,service1
16.000500,16.000420,16.000420,16.000420,16.000500,80300.000000,service2
19.000420,19.000000,19.000000,19.000000,19.000420,419800.000000,service1
19.000500,19.000420,19.000420,19.000420,19.000500,80300.000000,service2
22.000420,22.000000,22.000000,22.000000,22.000420,419800.000000,service1
22.000500,22.000420,22.000420,22.000420,22.000500,80300.000000,service2
25.000420,25.000000,25.000000,25.000000,25.000420,419800.000000,service1
25.000500,25.000420,25.000420,25.000420,25.000500,80300.000000,service2
28.000420,28.000000,28.000000,28.000000,28.000420,419800.000000,service1
28.000500,28.000420,28.000420,28.000420,28.000500,80300.000000,service2
31.000420,31.000000,31.000000,31.000000,31.000420,419800.000000,service1
31.000500,31.000420,31.000420,31.000420,31.000500,80300.000000,service2
34.000420,34.000000,34.000000,34.000000,34.000420,419800.000000,service1
34.000500,34.000420,34.000420,34.000420,34.000500,80300.000000,service2
37.000420,37.000000,37.000000,37.000000,37.000420,419800.000000,service1
37.000500,37.000420,37.000420,37.000420,37.000500,80300.000000,service2
40.000420,40.000000,40.000000,40.000000,40.000420,419800.000000,service1
40.000500,40.000420,40.000420,40.000420,40.000500,80300.000000,service2
43.000420,43.000000,43.000000,43.000000,43.000420,419800.000000,service1
43.000500,43.000420,43.000420,43.000420,43.000500,80300.000000,service2
46.000420,46.000000,46.000000,46.000000,46.000420,419800.000000,service1
46.000500,46.000420,46.000420,46.000420,46.000500,80300.000000,service2
49.000420,49.000000,49.000000,49.000000,49.000420,419800.000000,service1
49.000500,49.000420,49.000420,49.000420,49.000500,80300.000000,service2
52.000420,52.000000,52.000000,52.000000,52.000420,419800.000000,service1
52.000500,52.000420,52.000420,52.000420,52.000500,80300.000000,service2
55.000420,55.000000,55.000000,55.000000,55.000420,419800.000000,service1
55.000500,55.000420,55.000420,55.000420,55.000500,80300.000000,service2
58.000420,58.000000,58.000000,58.000000,58.000420,419800.000000,service1
58.000500,58.000420,58.000420,58.000420,58.000500,80300.000000,service2
61.000420,61.000000,61.000000,61.000000,61.000420,419800.000000,service1
61.000500,61.000420,61.000420,61.000420,61.000500,80300.000000,service2
64.000420,64.000000,64.000000,64.000000,64.000420,419800.000000,service1
64.000500,64.000420,64.000420,64.000420,64.000500,80300.000000,service2
67.000420,67.000000,67.000000,67.000000,67.000420,419800.000000,service1
67.000500,67.000420,67.000420,67.000420,67.000500,80300.000000,service2
70.000420,70.000000,70.000000,70.000000,70.000420,419800.000000,service1
70.000500,70.000420,70.000420,70.000420,70.000500,80300.000000,service2
73.000420,73.000000,73.000000,73.000000,73.000420,419800.000000,service1
73.000500,73.000420,73.000420,73.000420,73.000500,80300.000000,service2
76.000420,76.000000,76.000000,76.000000,76.000420,419800.000000,service1
76.000500,76.000420,76.000420,76.000420,76.000500,80300.000000,service2
79.000420,79.000000,79.000000,79.000000,79.000420,419800.000000,service1
79.000500,79.000420,79.000420,79.000420,79.000500,80300.000000,service2
82.000420,82.000000,82.000000,82.000000,82.000420,419800.000000,service1
82.000500,82.000420,82.000420,82.000420,82.000500,80300.000000,service2
85.000420,85.000000,85.000000,85.000000,85.000420,419800.000000,service1
85.000500,85.000420,85.000420,85.000420,85.000500,80300.000000,service2
88.000420,88.000000,88.000000,88.000000,88.000420,419800.000000,service1
88.000500,88.000420,88.000420,88.000420,88.000500,80300.000000,service2
91.000420,91.000000,91.000000,91.000000,91.000420,419800.000000,service1
91.000500,91.000420,91.000420,91.000420,91.000500,80300.000000,service2
94.000420,94.000000,94.000000,94.000000,94.000420,419800.000000,service1
94.000500,94.000420,94.000420,94.000420,94.000500,80300.000000,service2
97.000420,97.000000,97.000000,97.000000,97.000420,419800.000000,service1
97.000500,97.000420,97.000420,97.000420,97.000500,80300.000000,service2
100.000420,100.000000,100.000000,100.000000,100.000420,419800.000000,service1
100.000500,100.000420,100.000420,100.000420,100.000500,80300.000000,service2
103.000420,103.000000,103.000000,103.000000,103.000420,419800.000000,service1
103.000500,103.000420,103.000420,103.000420,103.000500,80300.000000,service2
106.000420,106.000000,106.000000,106.000000,106.000420,419800.000000,service1
106.000500,106.000420,106.000420,106.000420,106.000500,80300.000000,service2
109.000420,109.000000,109.000000,109.000000,109.000420,419800.000000,service1
109.000500,109.000420,109.000420,109.000420,109.000500,80300.000000,service2
112.000420,112.000000,112.000000,112.000000,112.000420,419800.000000,service1
112.000500,112.000420,112.000420,112.000420,112.000500,80300.000000,service2
115.000420,115.000000,115.000000,115.000000,115.000420,419800.000000,service1
115.000500,115.000420,115.000420,115.000420,115.000500,80300.000000,service2
118.000420,118.000000,118.000000,118.000000,118.000420,419800.000000,service1
118.000500,118.000420,118.000420,118.000420,118.000500,80300.000000,service2
121.000420,121.000000,121.000000,121.000000,121.000420,419800.000000,service1
121.000500,121.000420,121.000420,121.000420,121.000500,80300.000000,service2
124.000420,124.000000,124.000000,124.000000,124.000420,419800.000000,service1
124.000500,124.000420,124.000420,124.000420,124.000500,80300.000000,service2
127.000420,127.000000,127.000000,127.000000,127.000420,419800.000000,service1
127.000500,127.000420,127.000420,127.000420,127.000500,80300.000000,service2
130.000420,130.000000,130.000000,130.000000,130.000420,419800.000000,service1
130.000500,130.000420,130.000420,130.000420,130.000500,80300.000000,service2
133.000420,133.000000,133.000000,133.000000,133.000420,419800.000000,service1
133.000500,133.000420,133.000420,133.000420,133.000500,80300.000000,service2
136.000420,136.000000,136.000000,136.000000,136.000420,419800.000000,service1
136.000500,136.000420,136.000420,136.000420,136.000500,80300.000000,service2
139.000420,139.000000,139.000000,139.000000,139.000420,419800.000000,service1
139.000500,139.000420,139.000420,139.000420,139.000500,80300.000000,service2
142.000420,142.000000,142.000000,142.000000,142.000420,419800.000000,service1
142.000500,142.000420,142.000420,142.000420,142.000500,80300.000000,service2
145.000420,145.000000,145.000000,145.000000,145.000420,419800.000000,service1
145.000500,145.000420,145.000420,145.000420,145.000500,80300.000000,service2
148.000420,148.000000,148.000000,148.000000,148.000420,419800.000000,service1
148.000500,148.000420,148.000420,148.000420,148.000500,80300.000000,service2
151.000420,151.000000,151.000000,151.000000,151.000420,419800.000000,service1
151.000500,151.000420,151.000420,151.000420,151.000500,80300.000000,service2
154.000420,154.000000,154.000000,154.000000,154.000420,419800.000000,service1
154.000500,154.000420,154.000420,154.000420,154.000500,80300.000000,service2
157.000420,157.000000,157.000000,157.000000,157.000420,419800.000000,service1
157.000500,157.000420,157.000420,157.000420,157.000500,80300.000000,service2
160.000420,160.000000,160.000000,160.000000,160.000420,419800.000000,service1
160.000500,160.000420,160.000420,160.000420,160.000500,80300.000000,service2
163.000420,163.000000,163.000000,163.000000,163.000420,419800.000000,service1
163.000500,163.000420,163.000420,163.000420,163.000500,80300.000000,service2
166.000420,166.000000,166.000000,166.000000,166.000420,419800.000000,service1
166.000500,166.000420,166.000420,166.000420,166.000500,80300.000000,service2
169.000420,169.000000,169.000000,169.000000,169.000420,419800.000000,service1
169.000500,169.000420,169.000420,169.000420,169.000500,80300.000000,service2
172.000420,172.000000,172.000000,172.000000,172.000420,419800.000000,service1
172.000500,172.000420,172.000420,172.000420,172.000500,80300.000000,service2
175.000420,175.000000,175.000000,175.000000,175.000420,419800.000000,service1
175.000500,175.000420,175.000420,175.000420,175.000500,80300.000000,service2
178.000420,178.000000,178.000000,178.000000,178.000420,419800.000000,service1
178.000500,178.000420,178.000420,178.000420,178.000500,80300.000000,service2
