ts,qArr,instArr,startEx,endEx,flops,serv
124.000505,124.000414,124.000414,124.000414,124.000505,91000.000000,service2
127.000414,127.000000,127.000000,127.000000,127.000414,414200.000000,service1
127.000505,127.000414,127.000414,127.000414,127.000505,91000.000000,service2
130.000414,130.000000,130.000000,130.000000,130.000414,414200.000000,service1
130.000505,130.000414,130.000414,130.000414,130.000505,91000.000000,service2
133.000414,133.000000,133.000000,133.000000,133.000414,414200.000000,service1
133.000505,133.000414,133.000414,133.000414,133.000505,91000.000000,service2
136.000414,136.000000,136.000000,136.000000,136.000414,414200.000000,service1
136.000505,136.000414,136.000414,136.000414,136.000505,91000.000000,service2
139.000414,139.000000,139.000000,139.000000,139.000414,414200.000000,service1
139.000505,139.000414,139.000414,139.000414,139.000505,91000.000000,service2
142.000414,142.000000,142.000000,142.000000,142.000414,414200.000000,service1
142.000505,142.000414,142.000414,142.000414,142.000505,91000.000000,service2
145.000414,145.000000,145.000000,145.000000,145.000414,414200.000000,service1
145.000505,145.000414,145.000414,145.000414,145.000505,91000.000000,service2
148.000414,148.000000,148.000000,148.000000,148.000414,414200.000000,service1
148.000505,148.000414,148.000414,148.000414,148.000505,91000.000000,service2
151.000414,151.000000,151.000000,151.000000,151.000414,414200.000000,service1
151.000505,151.000414,151.000414,151.000414,151.000505,91000.000000,service2
154.000414,154.000000,154.000000,154.000000,154.000414,414200.000000,service1
154.000505,154.000414,154.000414,154.000414,154.000505,91000.000000,service2
157.000414,157.000000,157.000000,157.000000,157.000414,414200.000000,service1
157.000505,157.000414,157.000414,157.000414,157.000505,91000.000000,service2
160.000414,160.000000,160.000000,160.000000,160.000414,414200.000000,service1
160.000505,160.000414,160.000414,160.000414,160.000505,91000.000000,service2
163.000414,163.000000,163.000000,163.000000,163.000414,414200.000000,service1
163.000505,163.000414,163.000414,163.000414,163.000505,91000.000000,service2
166.000414,166.000000,166.000000,166.000000,166.000414,414200.000000,service1
166.000505,166.000414,166.000414,166.000414,166.000505,91000.000000,service2
169.000414,169.000000,169.000000,169.000000,169.000414,414200.000000,service1
169.000505,169.000414,169.000414,169.000414,169.000505,91000.000000,service2
172.000414,172.000000,172.000000,172.000000,172.000414,414200.000000,service1
172.000505,172.000414,172.000414,172.000414,172.000505,91000.000000,service2
175.000414,175.000000,175.000000,175.000000,175.000414,414200.000000,service1
175.000505,175.000414,175.000414,175.000414,175.000505,91000.000000,service2
178.000414,178.000000,178.000000,178.000000,178.000414,414200.000000,service1
178.000505,178.000414,178.000414,178.000414,178.000505,91000.000000,service2
181.000414,181.000000,181.000000,181.000000,181.000414,414200.000000,service1
181.000505,181.000414,181.000414,181.000414,181.000505,91000.000000,service2
184.000414,184.000000,184.000000,184.000000,184.000414,414200.000000,service1
184.000505,184.000414,184.000414,184.000414,184.000505,91000.000000,service2
187.000414,187.000000,187.000000,187.000000,187.000414,414200.000000,service1
187.000505,187.000414,187.000414,187.000414,187.000505,91000.000000,service2
190.000414,190.000000,190.000000,190.000000,190.000414,414200.000000,service1
190.000505,190.000414,190.000414,190.000414,190.000505,91000.000000,service2
193.000414,193.000000,193.000000,193.000000,193.000414,414200.000000,service1
193.000505,193.000414,193.000414,193.000414,193.000505,91000.000000,service2
196.000414,196.000000,196.000000,196.000000,196.000414,414200.000000,service1
196.000505,196.000414,196.000414,196.000414,196.000505,91000.000000,service2
199.000414,199.000000,199.000000,199.000000,199.000414,414200.000000,service1
199.000505,199.000414,199.000414,199.000414,199.000505,91000.000000,service2
202.000414,202.000000,202.000000,202.000000,202.000414,414200.000000,service1
202.000505,202.000414,202.000414,202.000414,202.000505,91000.000000,service2
205.000414,205.000000,205.000000,205.000000,205.000414,414200.000000,service1
205.000505,205.000414,205.000414,205.000414,205.000505,91000.000000,service2
208.000414,208.000000,208.000000,208.000000,208.000414,414200.000000,service1
208.000505,208.000414,208.000414,208.000414,208.000505,91000.000000,service2
211.000414,211.000000,211.000000,211.000000,211.000414,414200.000000,service1
