ts,qArr,instArr,startEx,endEx,flops,serv
10.620234,10.620000,10.620000,10.620000,10.620234,234400.000000,service1
10.763234,10.763000,10.763000,10.763000,10.763234,234400.000000,service1
10.807234,10.807000,10.807000,10.807000,10.807234,234400.000000,service1
10.810234,10.810000,10.810000,10.810000,10.810234,234400.000000,service1
10.832234,10.832000,10.832000,10.832000,10.832234,234400.000000,service1
11.287234,11.287000,11.287000,11.287000,11.287234,234400.000000,service1
11.338234,11.338000,11.338000,11.338000,11.338234,234400.000000,service1
11.426234,11.426000,11.426000,11.426000,11.426234,234400.000000,service1
11.445234,11.445000,11.445000,11.445000,11.445234,234400.000000,service1
11.510234,11.510000,11.510000,11.510000,11.510234,234400.000000,service1
11.535234,11.535000,11.535000,11.535000,11.535234,234400.000000,service1
11.554234,11.554000,11.554000,11.554000,11.554234,234400.000000,service1
11.588234,11.588000,11.588000,11.588000,11.588234,234400.000000,service1
11.864234,11.864000,11.864000,11.864000,11.864234,234400.000000,service1
11.908234,11.908000,11.908000,11.908000,11.908234,234400.000000,service1
11.921234,11.921000,11.921000,11.921000,11.921234,234400.000000,service1
11.970469,11.970000,11.970000,11.970000,11.970469,234400.000000,service1
11.970469,11.970000,11.970000,11.970000,11.970469,234400.000000,service1
12.189234,12.189000,12.189000,12.189000,12.189234,234400.000000,service1
12.204234,12.204000,12.204000,12.204000,12.204234,234400.000000,service1
12.233234,12.233000,12.233000,12.233000,12.233234,234400.000000,service1
12.374234,12.374000,12.374000,12.374000,12.374234,234400.000000,service1
12.479234,12.479000,12.479000,12.479000,12.479234,234400.000000,service1
12.489234,12.489000,12.489000,12.489000,12.489234,234400.000000,service1
12.560234,12.560000,12.560000,12.560000,12.560234,234400.000000,service1
12.633234,12.633000,12.633000,12.633000,12.633234,234400.000000,service1
12.687234,12.687000,12.687000,12.687000,12.687234,234400.000000,service1
12.722234,12.722000,12.722000,12.722000,12.722234,234400.000000,service1
12.781234,12.781000,12.781000,12.781000,12.781234,234400.000000,service1
12.934234,12.934000,12.934000,12.934000,12.934234,234400.000000,service1
12.953234,12.953000,12.953000,12.953000,12.953234,234400.000000,service1
12.957234,12.957000,12.957000,12.957000,12.957234,234400.000000,service1
13.340469,13.340000,13.340000,13.340000,13.340469,234400.000000,service1
13.340469,13.340000,13.340000,13.340000,13.340469,234400.000000,service1
13.375234,13.375000,13.375000,13.375000,13.375234,234400.000000,service1
13.407234,13.407000,13.407000,13.407000,13.407234,234400.000000,service1
13.451234,13.451000,13.451000,13.451000,13.451234,234400.000000,service1
13.597234,13.597000,13.597000,13.597000,13.597234,234400.000000,service1
13.612234,13.612000,13.612000,13.612000,13.612234,234400.000000,service1
13.620234,13.620000,13.620000,13.620000,13.620234,234400.000000,service1
13.647234,13.647000,13.647000,13.647000,13.647234,234400.000000,service1
13.678234,13.678000,13.678000,13.678000,13.678234,234400.000000,service1
13.732234,13.732000,13.732000,13.732000,13.732234,234400.000000,service1
13.759234,13.759000,13.759000,13.759000,13.759234,234400.000000,service1
