conn,load,meanLat,reqPerSec
3,151,4.893,150.78
3,201,6.031,200.74
3,251,5.670,249.55
3,301,152.335,299.70
3,351,7.694,347.55
3,401,8.831,398.12
3,451,19.583,448.14
3,501,2195.624,457.11
3,551,1581.348,498.56
3,601,2427.034,505.39
3,651,2511.350,492.17
3,701,3215.302,428.22
3,751,1845.868,457.99
3,801,2786.592,453.26
3,851,2760.890,473.00
3,901,3223.789,348.60
3,951,3029.033,375.24
3,1001,3379.171,421.89
3,1051,7528.451,409.33
3,1101,3384.759,435.10
3,1151,2896.006,469.75
3,1201,2804.311,481.75
3,1251,2321.094,489.18
3,1301,3183.514,487.80
3,1351,3188.145,494.38
3,1401,2774.846,489.70
3,1451,2243.914,490.27
3,1501,3347.111,482.21
3,1551,2648.593,487.85
3,1601,3239.410,470.17
3,1651,1797.684,483.17
3,1701,3356.778,468.14
3,1751,2803.473,488.80
3,1801,3505.315,460.41
3,1851,3192.204,483.14
3,1901,2399.703,468.30
3,1951,2920.709,453.21
3,2001,3402.747,448.59
3,2051,2853.700,476.60
3,2101,2650.637,467.05
3,2151,3452.160,438.24
3,2201,2573.352,447.26
3,2251,2984.313,442.54
3,2301,3459.604,440.20
3,2351,2510.059,434.93
