serviceName,nbIter,timestamp,totDurInServ,computeDur,parExec,totReqProcessed,scenario
S1_reprodscen2_1,72000001,0,23385654,23379832,0,0,scenario2
S1_reprodscen2_1,72000001,54071552,53852032,53850220,2,1,scenario2
S1_reprodscen2_1,72000001,54169600,25765784,25764147,2,1,scenario2
S1_reprodscen2_1,72000001,283316992,24247281,24245724,1,3,scenario2
S1_reprodscen2_1,72000001,437891072,29599353,29597776,1,4,scenario2
S1_reprodscen2_1,72000001,775780352,28205499,28203950,1,5,scenario2
S1_reprodscen2_1,72000001,834691072,27840200,27838632,1,6,scenario2
S1_reprodscen2_1,72000001,1252043520,24825652,24824263,1,7,scenario2
S1_reprodscen2_1,72000001,1314866944,25306261,25304586,0,8,scenario2
S1_reprodscen2_1,72000001,1475261696,25480921,25479473,1,9,scenario2
S1_reprodscen2_1,72000001,1775207424,23049152,23047736,1,10,scenario2
S1_reprodscen2_1,72000001,1949138944,25716203,25714787,1,11,scenario2
S1_reprodscen2_1,72000001,1995097856,25477636,25475970,1,12,scenario2
S1_reprodscen2_1,72000001,2466754560,51734958,51733502,2,13,scenario2
S1_reprodscen2_1,72000001,2466837760,26165661,26164156,2,13,scenario2
S1_reprodscen2_1,72000001,2802935552,23404643,23403229,1,15,scenario2
S1_reprodscen2_1,72000001,2838241280,23504194,23502665,1,16,scenario2
S1_reprodscen2_1,72000001,3067164160,23282365,23280745,1,17,scenario2
S1_reprodscen2_1,72000001,3151809280,25604165,25602688,1,18,scenario2
S1_reprodscen2_1,72000001,3438426624,23990757,23989345,1,19,scenario2
S1_reprodscen2_1,72000001,3551658496,23974454,23972979,1,20,scenario2
S1_reprodscen2_1,72000001,3687574016,29497551,29496090,1,21,scenario2
S1_reprodscen2_1,72000001,3866552576,31164971,31163368,1,22,scenario2
S1_reprodscen2_1,72000001,3918365184,29812892,29811191,1,23,scenario2
S1_reprodscen2_1,72000001,3962191104,28382324,28380606,1,24,scenario2
S1_reprodscen2_1,72000001,4012346880,27268756,27267041,1,25,scenario2
