serviceName,nbIter,timestamp,totDurInServ,computeDur,parExec,totReqProcessed,scenario
S1_reprodscen2_1,52000001,0,20905530,20897938,0,0,scenario2
S1_reprodscen2_1,52000001,37495552,37307239,37306030,2,1,scenario2
S1_reprodscen2_1,52000001,37562880,18104535,18103552,2,1,scenario2
S1_reprodscen2_1,52000001,279935232,18486995,18485494,1,3,scenario2
S1_reprodscen2_1,52000001,430468864,19722061,19720673,1,4,scenario2
S1_reprodscen2_1,52000001,766839040,16818256,16816841,1,5,scenario2
S1_reprodscen2_1,52000001,826627840,17483637,17480873,1,6,scenario2
S1_reprodscen2_1,52000001,1249488384,19930842,19928960,1,7,scenario2
S1_reprodscen2_1,52000001,1313318144,21747176,21744971,0,8,scenario2
S1_reprodscen2_1,52000001,1471631360,19594770,19592455,1,9,scenario2
S1_reprodscen2_1,52000001,1773104640,18784471,18783029,1,10,scenario2
S1_reprodscen2_1,52000001,1942526976,16835297,16832505,1,11,scenario2
S1_reprodscen2_1,52000001,1988770304,17046857,17045314,1,12,scenario2
S1_reprodscen2_1,52000001,2457937664,40773079,40771763,2,13,scenario2
S1_reprodscen2_1,52000001,2458002432,20410711,20409719,2,13,scenario2
S1_reprodscen2_1,52000001,2798810112,17326056,17324192,1,15,scenario2
S1_reprodscen2_1,52000001,2835251456,18532841,18531361,1,16,scenario2
S1_reprodscen2_1,52000001,3064318208,18075110,18073755,1,17,scenario2
S1_reprodscen2_1,52000001,3148330240,20038462,20036804,1,18,scenario2
S1_reprodscen2_1,52000001,3435435520,18624467,18621585,1,19,scenario2
S1_reprodscen2_1,52000001,3548290304,18137327,18135861,1,20,scenario2
S1_reprodscen2_1,52000001,3678711808,18298284,18296860,1,21,scenario2
S1_reprodscen2_1,52000001,3854140672,16636773,16635318,1,22,scenario2
S1_reprodscen2_1,52000001,3910157824,19442391,19440816,1,23,scenario2
S1_reprodscen2_1,52000001,3954775808,18779543,18777936,1,24,scenario2
S1_reprodscen2_1,52000001,4007432192,20204747,20203134,1,25,scenario2
S1_reprodscen2_1,52000001,4237645568,18185747,18184099,1,26,scenario2
S1_reprodscen2_1,52000001,4323276544,16591564,16590239,1,27,scenario2
S1_reprodscen2_1,52000001,4769330432,39352477,39350922,2,28,scenario2
S1_reprodscen2_1,52000001,4769429504,19749537,19748174,2,28,scenario2
S1_reprodscen2_1,52000001,4787978752,18425506,18424569,1,30,scenario2
S1_reprodscen2_1,52000001,4914682112,37008546,37007197,2,31,scenario2
S1_reprodscen2_1,52000001,4914758912,19933352,19932150,2,31,scenario2
S1_reprodscen2_1,52000001,4936561408,18398039,18396673,1,33,scenario2
S1_reprodscen2_1,52000001,5249437184,18800607,18797472,1,34,scenario2
S1_reprodscen2_1,52000001,5831533056,18450856,18447430,1,35,scenario2
S1_reprodscen2_1,52000001,6141112576,18694122,18690852,1,36,scenario2
S1_reprodscen2_1,52000001,6175238912,17735556,17734106,1,37,scenario2
S1_reprodscen2_1,52000001,6208307968,17372313,17370942,1,38,scenario2
S1_reprodscen2_1,52000001,6241093632,17070545,17068993,1,39,scenario2
S1_reprodscen2_1,52000001,6259897344,16643495,16641976,1,40,scenario2
S1_reprodscen2_1,52000001,6390870528,16868821,16866095,1,41,scenario2
S1_reprodscen2_1,52000001,6557851648,17728670,17727281,1,42,scenario2
S1_reprodscen2_1,52000001,6762048512,37595344,37593933,2,43,scenario2
S1_reprodscen2_1,52000001,6762127616,19237911,19236714,2,43,scenario2
S1_reprodscen2_1,52000001,6840610304,18653733,18652095,0,45,scenario2
S1_reprodscen2_1,52000001,7056863232,38330005,38327295,2,46,scenario2
S1_reprodscen2_1,52000001,7056941312,19146597,19145349,2,46,scenario2
S1_reprodscen2_1,52000001,7121522688,17475396,17472698,1,48,scenario2
S1_reprodscen2_1,52000001,7396015872,16767761,16766344,1,49,scenario2
S1_reprodscen2_1,52000001,7422072832,20807391,20806039,1,50,scenario2
S1_reprodscen2_1,52000001,7480292864,16679420,16678035,1,51,scenario2
S1_reprodscen2_1,52000001,7719874048,16893224,16891839,1,52,scenario2
S1_reprodscen2_1,52000001,7858101248,17647091,17644387,1,53,scenario2
S1_reprodscen2_1,52000001,8173402368,54506492,54502352,3,54,scenario2
S1_reprodscen2_1,52000001,8173526016,35171568,35170168,3,54,scenario2
S1_reprodscen2_1,52000001,8173662976,17487351,17486024,3,54,scenario2
S1_reprodscen2_1,52000001,8210717184,17440262,17438704,1,57,scenario2
S1_reprodscen2_1,52000001,8339503616,17723655,17722133,1,58,scenario2
S1_reprodscen2_1,52000001,8363023616,17287712,17286139,1,59,scenario2
S1_reprodscen2_1,52000001,8461327616,38179869,38178278,2,60,scenario2
S1_reprodscen2_1,52000001,8461419776,19707870,19706508,2,60,scenario2
S1_reprodscen2_1,52000001,8507833344,17296937,17295557,1,62,scenario2
S1_reprodscen2_1,52000001,8715715584,18808273,18804925,1,63,scenario2
S1_reprodscen2_1,52000001,8754029056,17012769,17010359,1,64,scenario2
S1_reprodscen2_1,52000001,8846038528,16726523,16724153,1,65,scenario2
S1_reprodscen2_1,52000001,8900931584,20408326,20405864,1,66,scenario2
S1_reprodscen2_1,52000001,9160521216,18618155,18615154,1,67,scenario2
S1_reprodscen2_1,52000001,9256615424,18323717,18320370,1,68,scenario2
S1_reprodscen2_1,52000001,9352476928,17250382,17249294,1,69,scenario2
S1_reprodscen2_1,52000001,9352609536,34341347,34328929,1,70,scenario2
S1_reprodscen2_1,52000001,9416294400,37536553,37535214,2,71,scenario2
S1_reprodscen2_1,52000001,9416415232,19892893,19891424,2,71,scenario2
S1_reprodscen2_1,52000001,9537065728,16761744,16760297,1,73,scenario2
S1_reprodscen2_1,52000001,9555979264,18333540,18332014,1,74,scenario2
S1_reprodscen2_1,52000001,9712897792,16375561,16374325,2,75,scenario2
S1_reprodscen2_1,52000001,9713054464,51070930,51067647,2,76,scenario2
S1_reprodscen2_1,52000001,9713146880,33950655,33949360,2,76,scenario2
S1_reprodscen2_1,52000001,9732978176,17535605,17534129,1,78,scenario2
S1_reprodscen2_1,52000001,9857265920,36451817,36448225,2,79,scenario2
S1_reprodscen2_1,52000001,9857429504,18652388,18650842,2,79,scenario2
S1_reprodscen2_1,52000001,9930123520,17920912,17918744,1,81,scenario2
S1_reprodscen2_1,52000001,10188454400,16835212,16833687,1,82,scenario2
S1_reprodscen2_1,52000001,10332673280,17985803,17984255,1,83,scenario2
S1_reprodscen2_1,52000001,10412920320,17967625,17966502,2,84,scenario2
S1_reprodscen2_1,52000001,10413055744,54134352,54132751,2,85,scenario2
