conn,load,meanLat,reqPerSec
1,1,11.628,1.07
1,21,11.068,22.50
1,41,11.223,42.30
1,61,11.071,61.43
1,81,9.957,81.56
1,101,10.867,100.83
1,121,9.513,120.65
1,141,11.172,140.42
1,161,10.914,160.76
1,181,11.940,180.56
1,201,13.652,200.73
1,221,14.350,219.58
1,241,30.588,239.71
1,261,49.147,259.49
1,281,1132.395,264.56
1,301,1934.078,262.87
1,321,2166.656,263.56
1,341,2834.535,251.39
1,361,2236.459,258.97
1,381,2293.728,262.73
1,401,2295.882,258.57
1,421,2294.870,264.18
1,441,2409.075,253.86
1,461,2329.990,255.99
1,481,2269.052,263.42
1,501,2244.958,263.72
