nbn,load,reqPerSec
1,1,0.966667
1,101,100.967
1,201,200.933
1,301,300.933
1,401,400.9
1,501,500.9
1,601,600.867
1,701,700.867
1,801,800.833
1,901,900.8
1,1001,1000.8
1,1101,1100.8
1,1201,1200.73
1,1301,1300.73
1,1401,1400.7
1,1501,1500.67
1,1601,1476.1
1,1701,1415.23
1,1801,1357.97
1,1901,1304.27
