perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,1,8,10,1000,7.256,997.71,10
100,1,8,11,1100,10.964,1096.00,10
100,1,8,12,1200,25.875,1193.46,10
100,1,8,13,1300,5.282,1293.12,10
100,1,8,14,1400,8.865,1394.55,10
100,1,8,15,1500,16.871,1492.19,10
100,1,8,16,1600,88.734,1584.33,10
100,1,8,17,1700,1220.368,1523.28,10
100,1,8,18,1800,2210.580,1574.78,10
100,1,8,19,1900,2536.966,1615.14,10
100,1,8,20,2000,3358.762,1592.95,10
100,1,9,1,100,4.123,99.99,10
100,1,9,2,200,3.509,199.71,10
100,1,9,3,300,18.051,298.60,10
100,1,9,4,400,3.319,397.19,10
100,1,9,5,500,3.365,499.38,10
100,1,9,6,600,3.379,596.28,10
100,1,9,7,700,22.057,692.23,10
100,1,9,8,800,8.310,796.20,10
100,1,9,9,900,3.747,895.07,10
100,1,9,10,1000,3.880,997.72,10
100,1,9,11,1100,7.765,1095.95,10
100,1,9,12,1200,4.571,1193.48,10
100,1,9,13,1300,4.871,1293.02,10
100,1,9,14,1400,6.413,1395.18,10
100,1,9,15,1500,15.423,1492.28,10
100,1,9,16,1600,14.970,1590.92,10
100,1,9,17,1700,1127.893,1590.70,10
100,1,9,18,1800,1853.536,1611.01,10
100,1,9,19,1900,2707.987,1590.74,10
100,1,9,20,2000,3852.821,1597.60,10
100,1,10,1,100,3.801,100.00,10
100,1,10,2,200,3.603,199.74,10
100,1,10,3,300,3.388,298.58,10
100,1,10,4,400,3.306,397.22,10
100,1,10,5,500,3.384,499.36,10
100,1,10,6,600,3.387,596.30,10
100,1,10,7,700,3.432,692.27,10
100,1,10,8,800,3.562,796.24,10
100,1,10,9,900,7.099,894.99,10
100,1,10,10,1000,12.687,997.75,10
100,1,10,11,1100,3.910,1095.98,10
100,1,10,12,1200,7.551,1155.68,10
100,1,10,13,1300,7.636,1293.15,10
100,1,10,14,1400,15.747,1395.12,10
100,1,10,15,1500,59.565,1490.62,10
100,1,10,16,1600,24.747,1590.79,10
100,1,10,17,1700,1127.622,1587.41,10
100,1,10,18,1800,2550.219,1529.88,10
100,1,10,19,1900,3006.289,1599.83,10
100,1,10,20,2000,3900.535,1586.20,10
100,2,1,1,100,5.627,99.99,10
100,2,1,2,200,4.635,199.72,10
100,2,1,3,300,3.872,298.60,10
100,2,1,4,400,3.870,397.23,10
100,2,1,5,500,3.865,499.36,10
100,2,1,6,600,3.804,596.26,10
100,2,1,7,700,3.782,691.70,10
100,2,1,8,800,4.011,796.21,10
100,2,1,9,900,12.972,895.03,10
100,2,1,10,1000,7.432,997.68,10
100,2,1,11,1100,10.941,1096.02,10
100,2,1,12,1200,9.906,1193.38,10
100,2,1,13,1300,30.673,1292.37,10
100,2,1,14,1400,7.779,1395.31,10
100,2,1,15,1500,12.760,1492.34,10
100,2,1,16,1600,11.699,1588.13,10
100,2,1,17,1700,11.332,1693.49,10
100,2,1,18,1800,11.014,1794.75,10
100,2,1,19,1900,8.655,1832.17,10
100,2,1,20,2000,33.800,1990.12,10
100,2,1,21,2100,17.298,2022.76,10
100,2,1,22,2200,11.311,2196.14,10
100,2,1,23,2300,310.909,2246.16,10
100,2,1,24,2400,1132.116,2231.41,10
100,2,1,25,2500,1970.762,2234.22,10
100,2,1,26,2600,2405.942,2139.58,10
100,2,2,1,100,5.260,99.98,10
100,2,2,2,200,4.622,199.70,10
100,2,2,3,300,4.015,298.60,10
100,2,2,4,400,22.046,397.21,10
100,2,2,5,500,12.241,499.37,10
100,2,2,6,600,3.743,596.26,10
100,2,2,7,700,3.725,692.28,10
100,2,2,8,800,3.764,796.26,10
100,2,2,9,900,11.527,865.89,10
100,2,2,10,1000,7.867,997.71,10
100,2,2,11,1100,21.863,1094.54,10
100,2,2,12,1200,9.756,1193.40,10
100,2,2,13,1300,3.906,1293.28,10
100,2,2,14,1400,12.507,1389.76,10
100,2,2,15,1500,4.649,1492.28,10
100,2,2,16,1600,7.251,1591.25,10
100,2,2,17,1700,10.906,1688.23,10
100,2,2,18,1800,22.728,1735.35,10
100,2,2,19,1900,5.308,1893.34,10
100,2,2,20,2000,29.507,1990.94,10
100,2,2,21,2100,24.419,2021.39,10
100,2,2,22,2200,102.788,2190.79,10
100,2,2,23,2300,68.640,2288.88,10
100,2,2,24,2400,1350.816,2140.08,10
100,2,2,25,2500,1604.352,2274.65,10
100,2,2,26,2600,2315.058,2191.39,10
100,2,3,1,100,5.218,99.99,10
100,2,3,2,200,4.517,199.71,10
100,2,3,3,300,4.026,298.60,10
100,2,3,4,400,3.848,397.22,10
100,2,3,5,500,27.462,499.36,10
100,2,3,6,600,14.351,594.78,10
100,2,3,7,700,14.923,692.25,10
100,2,3,8,800,3.909,796.18,10
100,2,3,9,900,3.817,895.02,10
100,2,3,10,1000,3.810,997.69,10
100,2,3,11,1100,3.889,1096.02,10
100,2,3,12,1200,13.526,1193.45,10
100,2,3,13,1300,6.856,1293.22,10
100,2,3,14,1400,4.065,1395.27,10
100,2,3,15,1500,7.446,1492.34,10
100,2,3,16,1600,9.860,1591.16,10
100,2,3,17,1700,8.353,1693.04,10
100,2,3,18,1800,17.742,1733.90,10
100,2,3,19,1900,55.973,1890.68,10
100,2,3,20,2000,7.835,1992.54,10
100,2,3,21,2100,25.731,2095.86,10
100,2,3,22,2200,23.814,2193.84,10
100,2,3,23,2300,169.515,2275.38,10
100,2,3,24,2400,1368.707,2192.57,10
100,2,3,25,2500,1665.394,2153.29,10
100,2,3,26,2600,2522.971,2155.42,10
100,2,4,1,100,4.990,99.99,10
100,2,4,2,200,4.720,199.71,10
100,2,4,3,300,4.095,298.59,10
100,2,4,4,400,3.892,384.74,10
100,2,4,5,500,17.585,499.36,10
100,2,4,6,600,3.780,596.29,10
100,2,4,7,700,3.790,692.20,10
100,2,4,8,800,3.754,796.21,10
100,2,4,9,900,9.364,895.02,10
100,2,4,10,1000,7.654,997.71,10
100,2,4,11,1100,6.046,1093.84,10
100,2,4,12,1200,6.956,1193.44,10
100,2,4,13,1300,13.216,1293.22,10
100,2,4,14,1400,25.530,1395.37,10
100,2,4,15,1500,6.367,1492.31,10
100,2,4,16,1600,4.222,1591.23,10
100,2,4,17,1700,7.288,1693.63,10
100,2,4,18,1800,4.667,1794.76,10
100,2,4,19,1900,7.407,1893.43,10
100,2,4,20,2000,971.150,1887.92,10
100,2,4,21,2100,37.308,2087.23,10
100,2,4,22,2200,63.329,2118.84,10
