perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,2.1,7,18,1800,473.956,1746.56,10
100,2.1,7,19,1900,2789.375,1607.77,10
100,2.1,7,20,2000,2625.240,1553.89,10
100,2.1,8,1,100,5.340,100.00,10
100,2.1,8,2,200,4.003,199.74,10
100,2.1,8,3,300,3.978,298.59,10
100,2.1,8,4,400,3.844,397.19,10
100,2.1,8,5,500,3.716,499.37,10
100,2.1,8,6,600,3.693,596.30,10
100,2.1,8,7,700,3.682,692.26,10
100,2.1,8,8,800,12.940,796.24,10
100,2.1,8,9,900,3.762,895.04,10
100,2.1,8,10,1000,3.884,997.74,10
100,2.1,8,11,1100,4.026,1095.95,10
100,2.1,8,12,1200,13.829,1193.42,10
100,2.1,8,13,1300,10.557,1293.16,10
100,2.1,8,14,1400,4.907,1348.90,10
100,2.1,8,15,1500,5.098,1492.33,10
100,2.1,8,16,1600,20.505,1591.09,10
100,2.1,8,17,1700,20.062,1691.25,10
100,2.1,8,18,1800,34.470,1789.53,10
100,2.1,8,19,1900,925.459,1800.49,10
100,2.1,8,20,2000,1793.461,1804.99,10
100,2.1,9,1,100,4.033,99.99,10
100,2.1,9,2,200,4.040,199.74,10
100,2.1,9,3,300,3.908,298.59,10
100,2.1,9,4,400,20.194,397.19,10
100,2.1,9,5,500,32.311,499.36,10
100,2.1,9,6,600,3.633,596.29,10
100,2.1,9,7,700,3.679,692.27,10
100,2.1,9,8,800,3.764,767.40,10
100,2.1,9,9,900,3.762,895.03,10
100,2.1,9,10,1000,3.897,997.71,10
100,2.1,9,11,1100,3.969,1095.98,10
100,2.1,9,12,1200,6.597,1193.38,10
100,2.1,9,13,1300,10.862,1293.19,10
100,2.1,9,14,1400,7.479,1395.32,10
100,2.1,9,15,1500,7.299,1492.28,10
100,2.1,9,16,1600,13.653,1591.23,10
100,2.1,9,17,1700,22.457,1689.66,10
100,2.1,9,18,1800,974.441,1694.91,10
100,2.1,9,19,1900,869.785,1802.43,10
100,2.1,9,20,2000,2921.620,1594.76,10
100,2.1,10,1,100,4.747,99.99,10
100,2.1,10,2,200,4.205,199.71,10
100,2.1,10,3,300,3.866,298.60,10
100,2.1,10,4,400,3.795,397.20,10
100,2.1,10,5,500,3.745,499.37,10
100,2.1,10,6,600,17.123,596.31,10
100,2.1,10,7,700,3.635,692.29,10
100,2.1,10,8,800,13.230,796.22,10
100,2.1,10,9,900,3.793,895.04,10
100,2.1,10,10,1000,3.933,997.73,10
100,2.1,10,11,1100,6.918,1095.99,10
100,2.1,10,12,1200,11.162,1193.47,10
100,2.1,10,13,1300,4.207,1292.99,10
100,2.1,10,14,1400,9.766,1395.38,10
100,2.1,10,15,1500,4.698,1492.35,10
100,2.1,10,16,1600,91.254,1585.51,10
100,2.1,10,17,1700,16.456,1692.06,10
100,2.1,10,18,1800,380.282,1751.61,10
100,2.1,10,19,1900,770.687,1810.05,10
100,2.1,10,20,2000,1527.270,1818.09,10
