perc,nbn,sample,conn,load,meanLat,reqPerSec
35,12,5,1,61,7024.848,42.60
35,12,5,1,81,11791.572,41.19
35,12,5,1,101,15295.786,24.52
35,12,5,1,121,16542.707,22.16
35,12,5,1,141,17630.589,20.29
35,12,5,1,161,18009.642,16.36
35,12,5,1,181,19145.810,13.06
35,12,5,1,201,18321.635,14.23
35,12,5,1,221,19394.507,10.63
35,12,5,1,241,18886.481,9.77
35,12,5,1,261,19163.879,10.46
35,12,5,1,281,18614.378,9.95
35,12,5,1,301,20181.442,8.68
25,1,1,1,1,30.770,1.07
25,1,1,1,21,680.559,21.89
25,1,1,1,41,8839.408,23.55
25,1,1,1,61,15506.622,15.79
25,1,1,1,81,17651.585,11.33
25,1,1,1,101,18972.734,9.73
25,1,1,1,121,17387.880,8.60
25,1,1,1,141,19546.528,6.16
25,1,1,1,161,19099.762,5.60
25,1,1,1,181,19972.730,4.42
25,1,1,1,201,19035.455,5.50
25,1,1,1,221,19225.763,8.76
25,1,1,1,241,19523.107,7.63
25,1,1,1,261,19215.589,6.82
25,1,1,1,281,18694.042,6.67
25,1,1,1,301,19412.285,7.69
25,1,2,1,1,27.954,1.07
25,1,2,1,21,1147.792,21.45
25,1,2,1,41,10180.259,21.79
25,1,2,1,61,17042.408,15.67
25,1,2,1,81,16844.888,12.66
25,1,2,1,101,17930.056,8.96
25,1,2,1,121,19359.639,6.73
25,1,2,1,141,19301.453,7.33
25,1,2,1,161,18395.102,6.15
25,1,2,1,181,20117.834,4.93
25,1,2,1,201,19820.188,4.52
25,1,2,1,221,20376.077,4.10
25,1,2,1,241,20093.033,3.93
25,1,2,1,261,20361.114,3.92
25,1,2,1,281,20557.644,4.22
25,1,2,1,301,20106.629,3.42
25,1,3,1,1,27.244,1.07
25,1,3,1,21,974.382,21.23
25,1,3,1,41,10864.771,20.81
25,1,3,1,61,15053.276,14.15
25,1,3,1,81,17241.611,12.23
25,1,3,1,101,17983.276,10.56
25,1,3,1,121,19389.686,7.55
25,1,3,1,141,19010.866,5.73
25,1,3,1,161,18949.598,5.66
25,1,3,1,181,19296.437,5.60
25,1,3,1,201,18881.273,5.33
25,1,3,1,221,19236.224,4.03
25,1,3,1,241,19574.012,3.25
25,1,3,1,261,20053.271,3.09
25,1,3,1,281,20452.521,3.63
25,1,3,1,301,19637.323,3.79
25,1,4,1,1,24.336,1.07
25,1,4,1,21,34.503,22.49
25,1,4,1,41,9327.704,21.85
25,1,4,1,61,17222.527,14.79
25,1,4,1,81,16769.952,15.09
25,1,4,1,101,18002.858,9.76
25,1,4,1,121,17727.635,11.10
25,1,4,1,141,19377.775,11.37
25,1,4,1,161,21048.144,12.13
25,1,4,1,181,21047.786,8.89
25,1,4,1,201,18051.548,7.90
25,1,4,1,221,20714.233,9.90
25,1,4,1,241,19299.189,11.63
25,1,4,1,261,18796.368,13.53
25,1,4,1,281,19198.753,12.97
25,1,4,1,301,19799.840,13.26
25,1,5,1,1,4.955,1.07
25,1,5,1,21,4.741,22.49
25,1,5,1,41,10.839,42.22
25,1,5,1,61,76.031,61.06
25,1,5,1,81,4092.061,64.87
25,1,5,1,101,8410.437,61.60
25,1,5,1,121,15086.918,40.94
25,1,5,1,141,15129.941,35.75
25,1,5,1,161,16911.846,25.99
25,1,5,1,181,17316.228,23.60
25,1,5,1,201,18641.954,17.46
25,1,5,1,221,19061.143,15.30
25,1,5,1,241,19895.162,13.30
25,1,5,1,261,18898.359,13.26
25,1,5,1,281,19302.649,10.54
25,1,5,1,301,19328.920,10.16
25,12,1,1,1,4.993,1.07
25,12,1,1,21,4.557,22.49
25,12,1,1,41,5.745,42.29
25,12,1,1,61,6.188,61.42
25,12,1,1,81,23.038,81.35
25,12,1,1,101,2179.402,91.95
25,12,1,1,121,5289.133,89.66
25,12,1,1,141,11048.545,71.84
25,12,1,1,161,14818.494,45.74
25,12,1,1,181,16468.270,39.58
25,12,1,1,201,16860.850,32.97
25,12,1,1,221,17918.699,25.53
25,12,1,1,241,18247.438,23.79
25,12,1,1,261,18298.370,21.34
25,12,1,1,281,18830.887,18.53
25,12,1,1,301,19077.897,20.00
25,12,2,1,1,5.422,1.07
25,12,2,1,21,4.562,22.49
25,12,2,1,41,5.701,42.28
25,12,2,1,61,9.928,61.42
25,12,2,1,81,39.726,81.26
25,12,2,1,101,3485.753,79.30
25,12,2,1,121,12804.761,59.78
25,12,2,1,141,13737.774,35.73
25,12,2,1,161,17258.421,30.95
25,12,2,1,181,15900.789,21.43
25,12,2,1,201,18595.866,14.26
25,12,2,1,221,17317.755,16.10
25,12,2,1,241,18453.533,14.49
25,12,2,1,261,20028.583,14.42
25,12,2,1,281,19904.045,9.91
25,12,2,1,301,19119.955,13.31
25,12,3,1,1,17.828,1.07
25,12,3,1,21,49.553,22.49
25,12,3,1,41,239.317,42.27
25,12,3,1,61,603.552,61.40
25,12,3,1,81,1386.407,70.46
25,12,3,1,101,9949.750,49.29
25,12,3,1,121,18361.034,23.47
25,12,3,1,141,18791.158,19.67
25,12,3,1,161,17205.202,23.73
25,12,3,1,181,16110.187,15.52
25,12,3,1,201,18344.591,16.41
25,12,3,1,221,18422.891,14.00
25,12,3,1,241,20330.589,12.94
25,12,3,1,261,18743.470,13.97
25,12,3,1,281,19288.972,12.56
25,12,3,1,301,18965.125,9.95
25,12,4,1,1,14.437,1.07
25,12,4,1,21,55.798,22.49
25,12,4,1,41,1728.262,40.90
25,12,4,1,61,4466.908,49.01
25,12,4,1,81,4450.344,67.68
25,12,4,1,101,7490.983,65.27
25,12,4,1,121,15513.445,40.88
25,12,4,1,141,15947.121,31.62
25,12,4,1,161,16816.836,26.55
25,12,4,1,181,19016.502,20.60
25,12,4,1,201,18681.380,19.09
25,12,4,1,221,19130.831,15.11
25,12,4,1,241,19875.334,16.56
25,12,4,1,261,18619.755,18.19
25,12,4,1,281,18895.245,17.51
25,12,4,1,301,20568.634,8.88
25,12,5,1,1,11.050,1.07
